1900-01	小寒 大寒 	放假 1 31 	
1900-02	立春 雨水 	放假 1 2 	
1900-03	惊蛰 春分 		
1900-04	清明 谷雨 		
1900-05	立夏 小满 	放假 1 2 	
1900-06	芒种 夏至 	放假 1 	
1900-07	小暑 大暑 		
1900-08	立秋 处暑 		
1900-09	白露 秋分 	放假 8 	
1900-10	寒露 霜降 	放假 1 2 3 8 	
1900-11	立冬 小雪 		
1900-12	大雪 冬至 		
1901-01	小寒 大寒 	放假 1 	
1901-02	立春 雨水 	放假 19 20 21 	
1901-03	惊蛰 春分 		
1901-04	清明 谷雨 		
1901-05	立夏 小满 	放假 1 2 	
1901-06	芒种 夏至 	放假 20 	
1901-07	小暑 大暑 		
1901-08	立秋 处暑 		
1901-09	白露 秋分 	放假 27 	
1901-10	寒露 霜降 	放假 1 2 3 	
1901-11	立冬 小雪 		
1901-12	大雪 冬至 		
1902-01	小寒 大寒 	放假 1 	
1902-02	立春 雨水 	放假 8 9 10 	
1902-03	惊蛰 春分 		
1902-04	清明 谷雨 		
1902-05	立夏 小满 	放假 1 2 	
1902-06	芒种 夏至 	放假 10 	
1902-07	小暑 大暑 		
1902-08	立秋 处暑 		
1902-09	白露 秋分 	放假 16 	
1902-10	寒露 霜降 	放假 1 2 3 	
1902-11	立冬 小雪 		
1902-12	大雪 冬至 		
1903-01	小寒 大寒 	放假 1 29 30 31 	
1903-02	立春 雨水 		
1903-03	惊蛰 春分 		
1903-04	清明 谷雨 		
1903-05	立夏 小满 	放假 1 2 31 	
1903-06	芒种 夏至 	放假 29 	
1903-07	小暑 大暑 		
1903-08	立秋 处暑 		
1903-09	白露 秋分 		
1903-10	寒露 霜降 	放假 1 2 3 5 	
1903-11	立冬 小雪 		
1903-12	大雪 冬至 		
1904-01	小寒 大寒 	放假 1 	
1904-02	立春 雨水 	放假 16 17 18 	
1904-03	惊蛰 春分 		
1904-04	清明 谷雨 		
1904-05	立夏 小满 	放假 1 2 	
1904-06	芒种 夏至 	放假 18 	
1904-07	小暑 大暑 		
1904-08	立秋 处暑 		
1904-09	白露 秋分 	放假 24 	
1904-10	寒露 霜降 	放假 1 2 3 	
1904-11	立冬 小雪 		
1904-12	大雪 冬至 		
1905-01	小寒 大寒 	放假 1 	
1905-02	立春 雨水 	放假 4 5 6 	
1905-03	惊蛰 春分 		
1905-04	清明 谷雨 		
1905-05	立夏 小满 	放假 1 2 	
1905-06	芒种 夏至 	放假 7 	
1905-07	小暑 大暑 		
1905-08	立秋 处暑 		
1905-09	白露 秋分 	放假 13 	
1905-10	寒露 霜降 	放假 1 2 3 	
1905-11	立冬 小雪 		
1905-12	大雪 冬至 		
1906-01	小寒 大寒 	放假 1 25 26 27 	
1906-02	立春 雨水 		
1906-03	惊蛰 春分 		
1906-04	清明 谷雨 		
1906-05	立夏 小满 	放假 1 2 	
1906-06	芒种 夏至 	放假 26 	
1906-07	小暑 大暑 		
1906-08	立秋 处暑 		
1906-09	白露 秋分 		
1906-10	寒露 霜降 	放假 1 2 3 	
1906-11	立冬 小雪 		
1906-12	大雪 冬至 		
1907-01	小寒 大寒 	放假 1 	
1907-02	立春 雨水 	放假 13 14 15 	
1907-03	惊蛰 春分 		
1907-04	清明 谷雨 		
1907-05	立夏 小满 	放假 1 2 	
1907-06	芒种 夏至 	放假 15 	
1907-07	小暑 大暑 		
1907-08	立秋 处暑 		
1907-09	白露 秋分 	放假 22 	
1907-10	寒露 霜降 	放假 1 2 3 	
1907-11	立冬 小雪 		
1907-12	大雪 冬至 		
1908-01	小寒 大寒 	放假 1 	
1908-02	立春 雨水 	放假 2 3 4 	
1908-03	惊蛰 春分 		
1908-04	清明 谷雨 		
1908-05	立夏 小满 	放假 1 2 	
1908-06	芒种 夏至 	放假 3 	
1908-07	小暑 大暑 		
1908-08	立秋 处暑 		
1908-09	白露 秋分 	放假 10 	
1908-10	寒露 霜降 	放假 1 2 3 	
1908-11	立冬 小雪 		
1908-12	大雪 冬至 		
1909-01	小寒 大寒 	放假 1 22 23 24 	
1909-02	立春 雨水 		
1909-03	惊蛰 春分 		
1909-04	清明 谷雨 		
1909-05	立夏 小满 	放假 1 2 	
1909-06	芒种 夏至 	放假 22 	
1909-07	小暑 大暑 		
1909-08	立秋 处暑 		
1909-09	白露 秋分 	放假 28 	
1909-10	寒露 霜降 	放假 1 2 3 	
1909-11	立冬 小雪 		
1909-12	大雪 冬至 		
1910-01	小寒 大寒 	放假 1 	
1910-02	立春 雨水 	放假 10 11 12 	
1910-03	惊蛰 春分 		
1910-04	清明 谷雨 		
1910-05	立夏 小满 	放假 1 2 	
1910-06	芒种 夏至 	放假 11 	
1910-07	小暑 大暑 		
1910-08	立秋 处暑 		
1910-09	白露 秋分 	放假 18 	
1910-10	寒露 霜降 	放假 1 2 3 	
1910-11	立冬 小雪 		
1910-12	大雪 冬至 		
1911-01	小寒 大寒 	放假 1 30 31 	
1911-02	立春 雨水 	放假 1 	
1911-03	惊蛰 春分 		
1911-04	清明 谷雨 		
1911-05	立夏 小满 	放假 1 2 	
1911-06	芒种 夏至 	放假 1 	
1911-07	小暑 大暑 		
1911-08	立秋 处暑 		
1911-09	白露 秋分 		
1911-10	寒露 霜降 	放假 1 2 3 6 	
1911-11	立冬 小雪 		
1911-12	大雪 冬至 		
1912-01	小寒 大寒 	放假 1 	
1912-02	立春 雨水 	放假 18 19 20 	
1912-03	惊蛰 春分 		
1912-04	清明 谷雨 		
1912-05	立夏 小满 	放假 1 2 	
1912-06	芒种 夏至 	放假 19 	
1912-07	小暑 大暑 		
1912-08	立秋 处暑 		
1912-09	白露 秋分 	放假 25 	
1912-10	寒露 霜降 	放假 1 2 3 	
1912-11	立冬 小雪 		
1912-12	大雪 冬至 		
1913-01	小寒 大寒 	放假 1 	
1913-02	立春 雨水 	放假 6 7 8 	
1913-03	惊蛰 春分 		
1913-04	清明 谷雨 		
1913-05	立夏 小满 	放假 1 2 	
1913-06	芒种 夏至 	放假 9 	
1913-07	小暑 大暑 		
1913-08	立秋 处暑 		
1913-09	白露 秋分 	放假 15 	
1913-10	寒露 霜降 	放假 1 2 3 	
1913-11	立冬 小雪 		
1913-12	大雪 冬至 		
1914-01	小寒 大寒 	放假 1 26 27 28 	
1914-02	立春 雨水 		
1914-03	惊蛰 春分 		
1914-04	清明 谷雨 		
1914-05	立夏 小满 	放假 1 2 29 	
1914-06	芒种 夏至 	放假 27 	
1914-07	小暑 大暑 		
1914-08	立秋 处暑 		
1914-09	白露 秋分 		
1914-10	寒露 霜降 	放假 1 2 3 4 	
1914-11	立冬 小雪 		
1914-12	大雪 冬至 		
1915-01	小寒 大寒 	放假 1 	
1915-02	立春 雨水 	放假 14 15 16 	
1915-03	惊蛰 春分 		
1915-04	清明 谷雨 		
1915-05	立夏 小满 	放假 1 2 	
1915-06	芒种 夏至 	放假 17 	
1915-07	小暑 大暑 		
1915-08	立秋 处暑 		
1915-09	白露 秋分 	放假 23 	
1915-10	寒露 霜降 	放假 1 2 3 	
1915-11	立冬 小雪 		
1915-12	大雪 冬至 		
1916-01	小寒 大寒 	放假 1 	
1916-02	立春 雨水 	放假 3 4 5 	
1916-03	惊蛰 春分 		
1916-04	清明 谷雨 		
1916-05	立夏 小满 	放假 1 2 	
1916-06	芒种 夏至 	放假 5 	
1916-07	小暑 大暑 		
1916-08	立秋 处暑 		
1916-09	白露 秋分 	放假 12 	
1916-10	寒露 霜降 	放假 1 2 3 	
1916-11	立冬 小雪 		
1916-12	大雪 冬至 		
1917-01	小寒 大寒 	放假 1 23 24 25 	
1917-02	立春 雨水 		
1917-03	惊蛰 春分 		
1917-04	清明 谷雨 		
1917-05	立夏 小满 	放假 1 2 	
1917-06	芒种 夏至 	放假 23 	
1917-07	小暑 大暑 		
1917-08	立秋 处暑 		
1917-09	白露 秋分 	放假 30 	
1917-10	寒露 霜降 	放假 1 2 3 	
1917-11	立冬 小雪 		
1917-12	大雪 冬至 		
1918-01	小寒 大寒 	放假 1 	
1918-02	立春 雨水 	放假 11 12 13 	
1918-03	惊蛰 春分 		
1918-04	清明 谷雨 		
1918-05	立夏 小满 	放假 1 2 	
1918-06	芒种 夏至 	放假 13 	
1918-07	小暑 大暑 		
1918-08	立秋 处暑 		
1918-09	白露 秋分 	放假 19 	
1918-10	寒露 霜降 	放假 1 2 3 	
1918-11	立冬 小雪 		
1918-12	大雪 冬至 		
1919-01	小寒 大寒 	放假 1 	
1919-02	立春 雨水 	放假 1 2 3 	
1919-03	惊蛰 春分 		
1919-04	清明 谷雨 		
1919-05	立夏 小满 	放假 1 2 	
1919-06	芒种 夏至 	放假 2 	
1919-07	小暑 大暑 		
1919-08	立秋 处暑 		
1919-09	白露 秋分 		
1919-10	寒露 霜降 	放假 1 2 3 8 	
1919-11	立冬 小雪 		
1919-12	大雪 冬至 		
1920-01	小寒 大寒 	放假 1 	
1920-02	立春 雨水 	放假 20 21 22 	
1920-03	惊蛰 春分 		
1920-04	清明 谷雨 		
1920-05	立夏 小满 	放假 1 2 	
1920-06	芒种 夏至 	放假 20 	
1920-07	小暑 大暑 		
1920-08	立秋 处暑 		
1920-09	白露 秋分 	放假 26 	
1920-10	寒露 霜降 	放假 1 2 3 	
1920-11	立冬 小雪 		
