1992-09-13 10:00:00	一九九二 壬申[猴]年 八月小十七	星期日	无	壬申 己酉 壬辰 乙巳	无	秋分 (9, 23)	猴	处女座	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上官、进人口、竖柱上梁、经络、纳财、栽种、牧养、安葬、纳畜、开仓、选将、解除、祈福、缮城郭、入宅、纳采、求嗣、立券交易、酝酿、裁制、搬移、安抚边境、庆赐、临政、修宫室	剃头、上表章、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、营建、招贤、颁诏、整容、修饰垣墙、修仓库、出师、布政事、补垣、鼓铸、上册、整手足甲、宣政事、筑堤防、塞穴
1992-09-14 10:00:00	一九九二 壬申[猴]年 八月小十八	星期一	世、界、清、洁、地、球、日、天、人、兴、福、之、辰	壬申 己酉 癸巳 丁巳	无	秋分 (9, 23)	猴	处女座	祭祀、宴会、修造、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、开仓、纳畜、施恩、选将、解除、修仓库、缮城郭、祈福、上册、纳采、求嗣、举正直、筑堤防、立券交易、酝酿、裁制、搬移、安抚边境、庆赐、临政、修宫室	出行、破土、安葬、启攒
1992-09-15 10:00:00	一九九二 壬申[猴]年 八月小十九	星期二	无	壬申 己酉 甲午 己巳	无	秋分 (9, 23)	猴	处女座	祭祀、捕捉	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、苫盖、解除、颁诏、出师、布政事、修仓库、祈福、缮城郭、补垣、取鱼、鼓铸、上册、整手足甲、乘船渡水、纳采、求嗣、宣政事、举正直、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政、修宫室
1992-09-16 10:00:00	一九九二 壬申[猴]年 八月小二十	星期三	无	壬申 己酉 乙未 辛巳	无	秋分 (9, 23)	猴	处女座	出行、结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、开市、纳财、牧养、纳畜、招贤、施恩、选将、解除、颁诏、出师、祈福、上册、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、裁制、搬移、安抚边境、庆赐、雪冤、临政	平治道涂、破屋坏垣、伐木、畋猎、开仓、取鱼、补垣、筑堤防、修饰垣墙
1992-09-17 10:00:00	一九九二 壬申[猴]年 八月小廿一	星期四	无	壬申 己酉 丙申 癸巳	无	秋分 (9, 23)	猴	处女座	祭祀、沐浴、剃头、经络、纳财、扫舍宇、栽种、牧养、选将、整容、补垣、筑堤防、覃恩、恤孤茕、塞穴、酝酿、裁制、安抚边境、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、安葬、营建、开仓、纳畜、招贤、施恩、解除、针刺、颁诏、出师、布政事、修仓库、祈福、整手足甲、上册、疗目、纳采、宣政事、举正直、求嗣、立券交易、搬移、庆赐、临政、修宫室
1992-09-18 10:00:00	一九九二 壬申[猴]年 八月小廿二	星期五	“、九、·、一、八、”、事、变、纪、念、日	壬申 己酉 丁酉 乙巳	无	秋分 (9, 23)	猴	处女座	祭祀、沐浴、扫舍宇、赴任、入宅	宴会、剃头、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、牧养、启攒、营建、开仓、苫盖、颁诏、修饰垣墙、布政事、补垣、取鱼、鼓铸、上册、乘船渡水、宣政事、筑堤防、塞穴
1992-09-19 10:00:00	一九九二 壬申[猴]年 八月小廿三	星期六	汉、恒、候、张、显、王、诞	壬申 己酉 戊戌 丁巳	无	秋分 (9, 23)	猴	处女座	祭祀、沐浴、剃头、扫舍宇、栽种、赴任、施恩、解除、整容、举正直、诉讼、临政	出行、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、经络、开市、纳财、修置产室、牧养、破土、安葬、启攒、开仓、纳畜、选将、针刺、修仓库、出师、祈福、整手足甲、上册、乘船渡水、纳采、求嗣、立券交易、酝酿、安抚边境、庆赐
1992-09-20 10:00:00	一九九二 壬申[猴]年 八月小廿四	星期日	全、国、爱、牙、日、灶、君、夫、人、诞	壬申 己酉 己亥 己巳	无	秋分 (9, 23)	猴	处女座	出行、宴会、沐浴、上表章、进人口、竖柱上梁、经络、开市、纳财、缮城郭、补垣、上册、立券交易、塞穴、裁制、庆赐、修宫室	祭祀、结婚姻、嫁娶、修造、破土、启攒、纳畜、招贤、施恩、选将、纳采、举正直、安抚边境、出师
1992-09-21 10:00:00	一九九二 壬申[猴]年 八月小廿五	星期一	国、际、和、平、日	壬申 己酉 庚子 辛巳	无	秋分 (9, 23)	猴	处女座	祭祀、沐浴、平治道涂、修饰垣墙、覃恩、恤孤茕、雪冤	冠带、修置产室、开渠、穿井、捕捉、畋猎、安葬、筑堤防、取鱼、鼓铸、布政事
1992-09-22 10:00:00	一九九二 壬申[猴]年 八月小廿六	星期二	无	壬申 己酉 辛丑 癸巳	无	秋分 (9, 23)	猴	处女座	宴会、经络、安碓硙、裁制、庆赐	出行、安床、求医疗病、上表章、上官、开市、修置产室、破土、安葬、启攒、营建、开仓、选将、解除、出师、上册、筑堤防、搬移、安抚边境、临政
1992-09-23 10:00:00	一九九二 壬申[猴]年 八月小廿七	星期三	无	壬申 己酉 壬寅 乙巳	秋分	寒露 (10, 8)	猴	天秤座	沐浴、捕捉、入宅、覃恩、恤孤茕、雪冤	祭祀、冠带、立券、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、启攒、开张、修饰垣墙、布政事、补垣、取鱼、鼓铸、远回、筑堤防、塞穴
1992-09-24 10:00:00	一九九二 壬申[猴]年 八月小廿八	星期四	无	壬申 己酉 癸卯 丁巳	无	寒露 (10, 8)	猴	天秤座	诸事不宜	诸事不宜
1992-09-25 10:00:00	一九九二 壬申[猴]年 八月小廿九	星期五	至、圣、先、师、孔、子、诞	壬申 己酉 甲辰 己巳	无	寒露 (10, 8)	猴	天秤座	诸事不宜	出行、剃头、修造、求医疗病、上官、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、营建、开仓、招贤、施恩、解除、颁诏、整容、修饰垣墙、修仓库、出师、布政事、祈福、缮城郭、补垣、鼓铸、上册、整手足甲、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、塞穴、裁制、庆赐、临政
1992-09-26 10:00:00	一九九二 壬申[猴]年 九月大初一	星期六	北、斗、九、星、降、世	壬申 己酉 乙巳 辛巳	无	寒露 (10, 8)	猴	天秤座	祭祀、结婚姻、宴会、修造、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、牧养、营建、纳畜、招贤、施恩、选将、解除、颁诏、修仓库、祈福、缮城郭、上册、纳采、求嗣、宣政事、举正直、筑堤防、覃恩、恤孤茕、立券交易、酝酿、裁制、搬移、安抚边境、庆赐、雪冤、临政、修宫室	出行、畋猎、破土、启攒、取鱼、整手足甲
1992-09-27 10:00:00	一九九二 壬申[猴]年 九月大初二	星期日	世、界、旅、游、日	壬申 己酉 丙午 癸巳	无	寒露 (10, 8)	猴	天秤座	祭祀、捕捉	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、苫盖、解除、颁诏、出师、布政事、修仓库、祈福、缮城郭、补垣、取鱼、鼓铸、上册、乘船渡水、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
1992-09-28 10:00:00	一九九二 壬申[猴]年 九月大初三	星期一	五、瘟、神、诞	壬申 己酉 丁未 乙巳	无	寒露 (10, 8)	猴	天秤座	出行、宴会、上表章、上官、入学、进人口、开市、纳财、牧养、赴任、纳畜、招贤、施恩、解除、颁诏、祈福、入宅、上册、求嗣、宣政事、举正直、覃恩、恤孤茕、裁制、搬移、庆赐、雪冤、临政	结婚姻、剃头、平治道涂、破屋坏垣、伐木、畋猎、营建、修饰垣墙、乘船渡水、开仓、补垣、筑堤防、整容、取鱼
1992-09-29 10:00:00	一九九二 壬申[猴]年 九月大初四	星期二	无	壬申 己酉 戊申 丁巳	无	寒露 (10, 8)	猴	天秤座	祭祀、沐浴、剃头、经络、纳财、扫舍宇、栽种、牧养、破土、选将、整容、修仓库、缮城郭、补垣、整手足甲、筑堤防、覃恩、恤孤茕、塞穴、酝酿、裁制、安抚边境、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、畋猎、安葬、营建、开仓、纳畜、招贤、施恩、解除、针刺、颁诏、出师、布政事、祈福、取鱼、上册、疗目、纳采、求嗣、宣政事、举正直、修宫室、立券交易、搬移、庆赐、临政
1992-09-30 10:00:00	一九九二 壬申[猴]年 九月大初五	星期三	无	壬申 己酉 己酉 己巳	无	寒露 (10, 8)	猴	天秤座	祭祀、沐浴、扫舍宇、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、苫盖、解除、颁诏、整容、修饰垣墙、修仓库、布政事、出师、祈福、缮城郭、补垣、取鱼、鼓铸、整手足甲、上册、乘船渡水、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
