1920-05-12	一九二零 庚申[猴]年 三月小廿四	周三	无	无	无	庚申 辛巳 庚午 辛巳	无	小满 (5, 21)	猴	金牛座	祭祀、宴会、沐浴、剃头、扫舍宇、安葬、庆赐、裁制、颁诏、入宅、恤孤茕、整容、覃恩、雪冤、宣政事、整手足甲	安床、冠带、进人口、经络、开市、纳财、修置产室、畋猎、开仓、乘船渡水、筑堤防、取鱼、苫盖、修宫室、立券交易
1920-05-13	一九二零 庚申[猴]年 三月小廿五	周四	无	无	无	庚申 辛巳 辛未 癸巳	无	小满 (5, 21)	猴	金牛座	覃恩、恤孤茕、雪冤	祭祀、安床、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、启攒、补垣、鼓铸、乘船渡水、布政事、整容、筑堤防、酝酿、取鱼、修饰垣墙、远回、整手足甲
1920-05-14	一九二零 庚申[猴]年 三月小廿六	周五	无	无	无	庚申 辛巳 壬申 乙巳	无	小满 (5, 21)	猴	金牛座	祭祀、沐浴、扫舍宇、平治道涂	出行、修造、上表章、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、启攒、庆赐、补垣、裁制、纳采、修仓库、鼓铸、颁诏、出师、招贤、布政事、选将、筑堤防、举正直、针刺、营建、缮城郭、施恩、安抚边境、宣政事、上册、塞穴、修宫室
1920-05-15	一九二零 庚申[猴]年 三月小廿七	周六	无	七殿泰山王诞	无	庚申 辛巳 癸酉 丁巳	无	小满 (5, 21)	猴	金牛座	沐浴、剃头、修造、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、搬移、裁制、纳畜、整容、酝酿、缮城郭、修宫室、整手足甲	出行、宴会、上表章、修置产室、上册、苫盖、开仓
1920-05-16	一九二零 庚申[猴]年 三月小廿八	周日	无	苍颉至圣先师诞	无	庚申 辛巳 甲戌 己巳	无	小满 (5, 21)	猴	金牛座	嫁娶、沐浴、剃头、求医疗病、上表章、捕捉、整容、选将、安抚边境、整手足甲、解除、出师	出行、开仓、修仓库
1920-05-17	一九二零 庚申[猴]年 三月小廿九	周一	无	无	无	庚申 辛巳 乙亥 辛巳	无	小满 (5, 21)	猴	金牛座	沐浴、破屋坏垣、赴任、入宅、恤孤茕、解除、覃恩、雪冤	嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、启攒、补垣、开仓、鼓铸、布政事、整容、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
1920-05-18	一九二零 庚申[猴]年 四月小初一	周二	无	八殿都市王诞	无	庚申 辛巳 丙子 癸巳	无	小满 (5, 21)	猴	金牛座	祭祀、宴会、沐浴、经络、庆赐、裁制、颁诏、恤孤茕、覃恩、酝酿、雪冤、宣政事	诸事不忌
1920-05-19	一九二零 庚申[猴]年 四月小初二	周三	无	无	无	庚申 辛巳 丁丑 乙巳	无	小满 (5, 21)	猴	金牛座	出行、结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、庆赐、临政、裁制、纳采、纳畜、筑堤防、举正直、酝酿、缮城郭、施恩、上册、修宫室、立券交易	剃头、冠带、整容、选将、取鱼、远回、乘船渡水、出师
1920-05-20	一九二零 庚申[猴]年 四月小初三	周四	无	无	无	庚申 辛巳 戊寅 丁巳	无	小满 (5, 21)	猴	金牛座	捕捉、赴任、诉讼	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、整手足甲、立券交易、祈福
1920-05-21	一九二零 庚申[猴]年 四月小初四	周五	无	文殊菩萨诞	无	庚申 辛巳 己卯 己巳	小满	芒种 (6, 6)	猴	双子座	入学、恤孤茕、覃恩、雪冤	穿井、伐木、畋猎、安葬、启攒、补垣、入宅、出师、选将、筑堤防、营建、取鱼、安抚边境、塞穴
