1964-01-12	一九六三 癸卯[兔]年 冬月大廿八	周日	无	无	无	癸卯 乙丑 庚申 辛巳	无	大寒 (1, 21)	兔	摩羯座	祭祀、出行、沐浴、剃头、上表章、上官、竖柱上梁、开市、纳财、扫舍宇、伐木、栽种、牧养、安葬、纳畜、举正直、整手足甲、临政、恤孤茕、上册、酝酿、颁诏、裁制、开仓、整容、覃恩、营建、宣政事、施恩、雪冤、搬移、招贤、缮城郭	取鱼
1964-01-13	一九六三 癸卯[兔]年 冬月大廿九	周一	无	无	无	癸卯 乙丑 辛酉 癸巳	无	大寒 (1, 21)	兔	摩羯座	祭祀、沐浴、剃头、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、安碓硙、扫舍宇、栽种、牧养、安葬、举正直、整手足甲、临政、求嗣、解除、上册、裁制、整容、筑堤防、修宫室、施恩、祈福、缮城郭	宴会、畋猎、选将、出师、苫盖
1964-01-14	一九六三 癸卯[兔]年 冬月大三十	周二	无	无	无	癸卯 乙丑 壬戌 乙巳	无	大寒 (1, 21)	兔	摩羯座	祭祀、捕捉、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
1964-01-15	一九六三 癸卯[兔]年 腊月小初一	周三	无	无	无	癸卯 乙丑 癸亥 丁巳	无	大寒 (1, 21)	兔	摩羯座	祭祀、出行、宴会、沐浴、修造、求医疗病、上表章、上官、入学、开市、修置产室、开渠、穿井、安碓硙、栽种、牧养、纳采、临政、恤孤茕、修仓库、求嗣、解除、赴任、上册、裁制、庆赐、入宅、覃恩、安抚边境、选将、修宫室、雪冤、搬移、祈福、缮城郭	结婚姻、嫁娶、剃头、冠带、竖柱上梁、平治道涂、破屋坏垣、伐木、畋猎、破土、安葬、启攒、纳畜、鼓铸、整手足甲、布政事、开仓、整容、筑堤防、营建、补垣、修饰垣墙、塞穴、远回、取鱼、出师
1964-01-16	一九六三 癸卯[兔]年 腊月小初二	周四	无	无	无	癸卯 乙丑 甲子 己巳	无	大寒 (1, 21)	兔	摩羯座	祭祀、沐浴、经络、安葬、恤孤茕、酝酿、裁制、覃恩、雪冤、塞穴	诸事不忌
1964-01-17	一九六三 癸卯[兔]年 腊月小初三	周五	无	无	无	癸卯 乙丑 乙丑 辛巳	无	大寒 (1, 21)	兔	摩羯座	祭祀、宴会、经络、纳财、牧养、纳畜、举正直、恤孤茕、布政事、酝酿、裁制、庆赐、覃恩、施恩、雪冤、立券交易	剃头、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、破土、启攒、补垣、筑堤防、整手足甲、取鱼、修饰垣墙、整容
1964-01-18	一九六三 癸卯[兔]年 腊月小初四	周六	无	无	无	癸卯 乙丑 丙寅 癸巳	无	大寒 (1, 21)	兔	摩羯座	沐浴、扫舍宇、恤孤茕、覃恩、雪冤	祭祀、上表章、开渠、穿井、安葬、上册、颁诏、筑堤防、营建、补垣、宣政事、塞穴、招贤
1964-01-19	一九六三 癸卯[兔]年 腊月小初五	周日	无	无	无	癸卯 乙丑 丁卯 乙巳	无	大寒 (1, 21)	兔	摩羯座	恤孤茕、覃恩、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、庆赐、开仓、入宅、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
1964-01-20	一九六三 癸卯[兔]年 腊月小初六	周一	无	无	无	癸卯 乙丑 戊辰 丁巳	无	大寒 (1, 21)	兔	水瓶座	覃恩、雪冤、恤孤茕、入宅	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、塞穴、缮城郭、立券交易、出师
1964-01-21	一九六三 癸卯[兔]年 腊月小初七	周二	无	无	列宁逝世纪念日	癸卯 乙丑 己巳 己巳	大寒	立春 (2, 5)	兔	水瓶座	宴会、冠带、竖柱上梁、经络、纳畜、纳采、临政、酝酿、裁制、庆赐	出行、求医疗病、上表章、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、栽种、破土、安葬、启攒、鼓铸、解除、上册、乘船渡水、开仓、筑堤防、安抚边境、补垣、营建、选将、修饰垣墙、塞穴、出师、取鱼
