1966-03-12 10:00:00	一九六六 丙午[马]年 二月大廿一	星期六	孙、中、山、逝、世、纪、念、日、,、中、国、植、树、节、普、贤、菩、萨、诞	丙午 辛卯 庚午 辛巳	无	春分 (3, 21)	马	双鱼座	祭祀、平治道涂、修饰垣墙	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、苫盖、解除、颁诏、出师、布政事、修仓库、祈福、缮城郭、鼓铸、上册、整手足甲、纳采、求嗣、宣政事、举正直、筑堤防、立券交易、酝酿、裁制、搬移、安抚边境、庆赐、临政、修宫室
1966-03-13 10:00:00	一九六六 丙午[马]年 二月大廿二	星期日	无	丙午 辛卯 辛未 癸巳	无	春分 (3, 21)	马	双鱼座	祭祀、出行、宴会、修造、冠带、进人口、竖柱上梁、经络、安碓硙、破土、赴任、纳畜、缮城郭、祈福、入宅、纳采、求嗣、恤孤茕、裁制、搬移、庆赐、雪冤、修宫室	求医疗病、上表章、修置产室、栽种、安葬、开仓、选将、安抚边境、解除、针刺、上册、出师
1966-03-14 10:00:00	一九六六 丙午[马]年 二月大廿三	星期一	马、克、思、逝、世、纪、念、日	丙午 辛卯 壬申 乙巳	无	春分 (3, 21)	马	双鱼座	祭祀、沐浴、扫舍宇、捕捉、覃恩、恤孤茕、雪冤	安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、启攒、开仓、修饰垣墙、布政事、补垣、鼓铸、乘船渡水、修宫室、筑堤防、立券交易、塞穴、酝酿
1966-03-15 10:00:00	一九六六 丙午[马]年 二月大廿四	星期二	国、际、消、费、者、权、益、日	丙午 辛卯 癸酉 丁巳	无	春分 (3, 21)	马	双鱼座	诸事不宜	诸事不宜
1966-03-16 10:00:00	一九六六 丙午[马]年 二月大廿五	星期三	无	丙午 辛卯 甲戌 己巳	无	春分 (3, 21)	马	双鱼座	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、赴任、营建、纳畜、招贤、选将、施恩、解除、颁诏、修仓库、出师、祈福、缮城郭、取鱼、上册、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、立券交易、酝酿、诉讼、裁制、搬移、安抚边境、庆赐、雪冤、临政	诸事不忌
1966-03-17 10:00:00	一九六六 丙午[马]年 二月大廿六	星期四	国、际、航、海、日	丙午 辛卯 乙亥 辛巳	无	春分 (3, 21)	马	双鱼座	出行、宴会、沐浴、修造、上表章、上官、入学、竖柱上梁、经络、安碓硙、牧养、纳畜、施恩、缮城郭、上册、举正直、筑堤防、酝酿、裁制、搬移、庆赐、临政、修宫室	嫁娶、破土、安葬、启攒、开仓
1966-03-18 10:00:00	一九六六 丙午[马]年 二月大廿七	星期五	全、国、科、技、人、才、活、动、日	丙午 辛卯 丙子 癸巳	无	春分 (3, 21)	马	双鱼座	祭祀、沐浴、捕捉、入宅	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、取鱼、鼓铸、上册、整手足甲、乘船渡水、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
1966-03-19 10:00:00	一九六六 丙午[马]年 二月大廿八	星期六	无	丙午 辛卯 丁丑 乙巳	无	春分 (3, 21)	马	双鱼座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、修置产室、开渠、穿井、安碓硙、牧养、纳畜、招贤、施恩、选将、解除、颁诏、出师、祈福、缮城郭、上册、纳采、求嗣、宣政事、举正直、修宫室、覃恩、恤孤茕、裁制、搬移、安抚边境、庆赐、雪冤、临政	剃头、冠带、伐木、畋猎、乘船渡水、补垣、塞穴、取鱼、鼓铸、整容
1966-03-20 10:00:00	一九六六 丙午[马]年 二月大廿九	星期日	无	丙午 辛卯 戊寅 丁巳	无	春分 (3, 21)	马	双鱼座	经络、纳财、栽种、牧养、破土、安葬、纳畜、修仓库、缮城郭、补垣、筑堤防、覃恩、恤孤茕、立券交易、塞穴、酝酿、裁制、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、畋猎、营建、开仓、招贤、施恩、选将、解除、针刺、颁诏、出师、布政事、祈福、取鱼、上册、疗目、远回、纳采、求嗣、宣政事、举正直、搬移、安抚边境、庆赐、临政、修宫室
1966-03-21 10:00:00	一九六六 丙午[马]年 二月大三十	星期一	世、界、森、林、日、,、世、界、睡、眠、日	丙午 辛卯 己卯 己巳	春分	清明 (4, 5)	马	白羊座	出行、宴会、上官、进人口、经络、纳财、牧养、纳畜、招贤、施恩、颁诏、宣政事、举正直、覃恩、恤孤茕、立券交易、酝酿、裁制、搬移、庆赐、雪冤、临政	剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、启攒、修饰垣墙、开仓、乘船渡水、补垣、苫盖、筑堤防、整容、取鱼、整手足甲
