1931-09-14 10:00:00	一九三一 辛未[羊]年 八月小初三	星期一	世、界、清、洁、地、球、日、司、命、灶、君、诞	辛未 丁酉 壬申 乙巳	无	秋分 (9, 24)	羊	处女座	祭祀、沐浴、剃头、经络、纳财、扫舍宇、栽种、牧养、选将、整容、缮城郭、补垣、整手足甲、筑堤防、覃恩、恤孤茕、塞穴、酝酿、裁制、安抚边境、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、安葬、营建、开仓、纳畜、招贤、施恩、解除、针刺、颁诏、出师、布政事、祈福、上册、疗目、纳采、求嗣、宣政事、举正直、立券交易、搬移、庆赐、临政、修宫室
1931-09-15 10:00:00	一九三一 辛未[羊]年 八月小初四	星期二	无	辛未 丁酉 癸酉 丁巳	无	秋分 (9, 24)	羊	处女座	祭祀、沐浴、扫舍宇	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、苫盖、解除、颁诏、整容、修饰垣墙、修仓库、布政事、出师、祈福、缮城郭、补垣、取鱼、鼓铸、整手足甲、上册、乘船渡水、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
1931-09-16 10:00:00	一九三一 辛未[羊]年 八月小初五	星期三	雷、声、大、帝、诞	辛未 丁酉 甲戌 己巳	无	秋分 (9, 24)	羊	处女座	祭祀、沐浴、剃头、扫舍宇、栽种、赴任、施恩、解除、整容、整手足甲、举正直、诉讼、临政	出行、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、经络、开市、纳财、修置产室、牧养、破土、安葬、启攒、开仓、纳畜、选将、针刺、修仓库、出师、祈福、上册、乘船渡水、纳采、求嗣、立券交易、酝酿、安抚边境、庆赐
1931-09-17 10:00:00	一九三一 辛未[羊]年 八月小初六	星期四	无	辛未 丁酉 乙亥 辛巳	无	秋分 (9, 24)	羊	处女座	出行、宴会、沐浴、上表章、进人口、竖柱上梁、经络、开市、纳财、牧养、营建、解除、颁诏、祈福、缮城郭、补垣、上册、求嗣、宣政事、覃恩、恤孤茕、立券交易、塞穴、裁制、庆赐、雪冤、修宫室	祭祀、嫁娶、畋猎、破土、启攒、取鱼、整手足甲
1931-09-18 10:00:00	一九三一 辛未[羊]年 八月小初七	星期五	“、九、·、一、八、”、事、变、纪、念、日	辛未 丁酉 丙子 癸巳	无	秋分 (9, 24)	羊	处女座	祭祀、沐浴、平治道涂、修饰垣墙、入宅	上表章、冠带、修置产室、开渠、穿井、捕捉、畋猎、安葬、营建、招贤、选将、颁诏、修仓库、出师、布政事、取鱼、鼓铸、上册、宣政事、筑堤防、安抚边境
1931-09-19 10:00:00	一九三一 辛未[羊]年 八月小初八	星期六	无	辛未 丁酉 丁丑 乙巳	无	秋分 (9, 24)	羊	处女座	结婚姻、宴会、进人口、竖柱上梁、经络、安碓硙、牧养、纳畜、缮城郭、纳采、酝酿、裁制、庆赐、修宫室	出行、剃头、求医疗病、上表章、开市、修置产室、开仓、选将、搬移、安抚边境、解除、整容、上册、出师
1931-09-20 10:00:00	一九三一 辛未[羊]年 八月小初九	星期日	全、国、爱、牙、日	辛未 丁酉 戊寅 丁巳	无	秋分 (9, 24)	羊	处女座	沐浴、捕捉、覃恩、恤孤茕、雪冤	祭祀、安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、启攒、开仓、修饰垣墙、布政事、补垣、取鱼、鼓铸、远回、修宫室、筑堤防、塞穴、酝酿
1931-09-21 10:00:00	一九三一 辛未[羊]年 八月小初十	星期一	国、际、和、平、日、北、斗、大、帝、诞	辛未 丁酉 己卯 己巳	无	秋分 (9, 24)	羊	处女座	诸事不宜	诸事不宜
1931-09-22 10:00:00	一九三一 辛未[羊]年 八月小十一	星期二	无	辛未 丁酉 庚辰 辛巳	无	秋分 (9, 24)	羊	处女座	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、纳财、栽种、牧养、安葬、营建、纳畜、招贤、选将、施恩、解除、颁诏、修仓库、出师、祈福、缮城郭、上册、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、立券交易、酝酿、裁制、搬移、安抚边境、庆赐、雪冤、临政	诸事不忌
1931-09-23 10:00:00	一九三一 辛未[羊]年 八月小十二	星期三	西、方、五、道、诞	辛未 丁酉 辛巳 癸巳	无	秋分 (9, 24)	羊	天秤座	祭祀、结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、赴任、纳畜、施恩、布政事、缮城郭、祈福、入宅、上册、纳采、举正直、筑堤防、覃恩、恤孤茕、立券交易、裁制、搬移、庆赐、雪冤、临政、修宫室	出行、剃头、破土、安葬、启攒、整容
1931-09-24 10:00:00	一九三一 辛未[羊]年 八月小十三	星期四	无	辛未 丁酉 壬午 乙巳	秋分	寒露 (10, 9)	羊	天秤座	祭祀、捕捉、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、苫盖、解除、颁诏、修仓库、出师、布政事、祈福、缮城郭、补垣、取鱼、鼓铸、上册、乘船渡水、纳采、求嗣、宣政事、举正直、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政、修宫室
1931-09-25 10:00:00	一九三一 辛未[羊]年 八月小十四	星期五	无	辛未 丁酉 癸未 丁巳	无	寒露 (10, 9)	羊	天秤座	结婚姻、宴会、嫁娶、上表章、上官、入学、进人口、竖柱上梁、开市、纳财、牧养、纳畜、招贤、施恩、解除、颁诏、祈福、上册、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、裁制、搬移、庆赐、雪冤、临政	平治道涂、破屋坏垣、伐木、畋猎、营建、乘船渡水、取鱼、补垣、筑堤防、修饰垣墙
1931-09-26 10:00:00	一九三一 辛未[羊]年 八月小十五	星期六	中、秋、节	辛未 丁酉 甲申 己巳	无	寒露 (10, 9)	羊	天秤座	祭祀、沐浴、经络、纳财、扫舍宇、栽种、牧养、补垣、筑堤防、覃恩、恤孤茕、塞穴、酝酿、裁制、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、安葬、营建、开仓、纳畜、招贤、施恩、选将、解除、针刺、颁诏、整容、出师、布政事、祈福、整手足甲、上册、疗目、纳采、宣政事、举正直、求嗣、立券交易、搬移、安抚边境、庆赐、临政、修宫室
1931-09-27 10:00:00	一九三一 辛未[羊]年 八月小十六	星期日	世、界、旅、游、日、天、曹、掠、刷、真、君、降	辛未 丁酉 乙酉 辛巳	无	寒露 (10, 9)	羊	天秤座	祭祀、沐浴、扫舍宇、覃恩、恤孤茕、雪冤	宴会、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、启攒、开仓、苫盖、修饰垣墙、布政事、补垣、取鱼、鼓铸、乘船渡水、筑堤防、塞穴
1931-09-28 10:00:00	一九三一 辛未[羊]年 八月小十七	星期一	无	辛未 丁酉 丙戌 癸巳	无	寒露 (10, 9)	羊	天秤座	祭祀、出行、嫁娶、沐浴、剃头、修造、求医疗病、上官、纳财、扫舍宇、栽种、牧养、安葬、赴任、纳畜、施恩、选将、解除、整容、出师、祈福、入宅、整手足甲、纳采、求嗣、举正直、诉讼、搬移、安抚边境、临政	宴会、上表章、进人口、经络、开市、修置产室、破土、启攒、开仓、针刺、修仓库、上册、立券交易、酝酿、庆赐
1931-09-29 10:00:00	一九三一 辛未[羊]年 八月小十八	星期二	天、人、兴、福、之、辰	辛未 丁酉 丁亥 乙巳	无	寒露 (10, 9)	羊	天秤座	出行、宴会、沐浴、上表章、进人口、竖柱上梁、经络、开市、纳财、缮城郭、补垣、上册、立券交易、塞穴、裁制、庆赐、修宫室	祭祀、结婚姻、嫁娶、剃头、修造、破土、启攒、纳畜、招贤、施恩、选将、纳采、举正直、安抚边境、整容、出师
1931-09-30 10:00:00	一九三一 辛未[羊]年 八月小十九	星期三	无	辛未 丁酉 戊子 丁巳	无	寒露 (10, 9)	羊	天秤座	祭祀、沐浴、平治道涂、修饰垣墙	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、出师、修仓库、布政事、祈福、缮城郭、取鱼、鼓铸、上册、整手足甲、纳采、求嗣、宣政事、举正直、筑堤防、立券交易、酝酿、裁制、搬移、安抚边境、庆赐、临政、修宫室
