2000-05-13	二零零零 庚辰[龙]年 四月小初十	周六	无	无	无	庚辰 辛巳 辛未 癸巳	无	小满 (5, 21)	龙	金牛座	覃恩、雪冤、恤孤茕	祭祀、安床、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、启攒、鼓铸、整手足甲、布政事、酝酿、乘船渡水、整容、筑堤防、补垣、修饰垣墙、远回、取鱼
2000-05-14	二零零零 庚辰[龙]年 四月小十一	周日	无	无	母亲节	庚辰 辛巳 壬申 乙巳	无	小满 (5, 21)	龙	金牛座	祭祀、沐浴、扫舍宇、平治道涂	出行、修造、上表章、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、启攒、纳采、针刺、鼓铸、举正直、布政事、修仓库、上册、颁诏、裁制、庆赐、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、塞穴、招贤、缮城郭、出师
2000-05-15	二零零零 庚辰[龙]年 四月小十二	周一	无	无	无	庚辰 辛巳 癸酉 丁巳	无	小满 (5, 21)	龙	金牛座	沐浴、修造、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、整手足甲、酝酿、裁制、修宫室、搬移、缮城郭	出行、宴会、上表章、修置产室、上册、开仓、苫盖
2000-05-16	二零零零 庚辰[龙]年 四月小十三	周二	无	无	无	庚辰 辛巳 甲戌 己巳	无	小满 (5, 21)	龙	金牛座	沐浴、剃头、求医疗病、上表章、捕捉、安抚边境、选将、整手足甲、出师、整容、解除	出行、结婚姻、修造、搬移、开仓、修仓库
2000-05-17	二零零零 庚辰[龙]年 四月小十四	周三	无	纯阳祖师诞	无	庚辰 辛巳 乙亥 辛巳	无	小满 (5, 21)	龙	金牛座	沐浴、破屋坏垣、恤孤茕、解除、赴任、入宅、覃恩、雪冤	嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、启攒、鼓铸、整手足甲、布政事、乘船渡水、开仓、整容、筑堤防、补垣、修宫室、修饰垣墙、塞穴、取鱼
2000-05-18	二零零零 庚辰[龙]年 四月小十五	周四	无	钟离祖师诞	无	庚辰 辛巳 丙子 癸巳	无	小满 (5, 21)	龙	金牛座	祭祀、宴会、沐浴、经络、恤孤茕、酝酿、颁诏、裁制、庆赐、覃恩、宣政事、雪冤	诸事不忌
2000-05-19	二零零零 庚辰[龙]年 四月小十六	周五	无	无	无	庚辰 辛巳 丁丑 乙巳	无	小满 (5, 21)	龙	金牛座	出行、结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、纳畜、纳采、举正直、临政、上册、酝酿、裁制、庆赐、筑堤防、修宫室、施恩、缮城郭、立券交易	剃头、冠带、选将、取鱼、出师、远回、乘船渡水、整容
2000-05-20	二零零零 庚辰[龙]年 四月小十七	周六	无	十殿转轮王诞	无	庚辰 辛巳 戊寅 丁巳	无	小满 (5, 21)	龙	金牛座	捕捉、赴任、诉讼	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、塞穴、缮城郭、立券交易、出师
2000-05-21	二零零零 庚辰[龙]年 四月小十八	周日	无	紫徽大帝诞	无	庚辰 辛巳 己卯 己巳	小满	芒种 (6, 5)	龙	双子座	入学、恤孤茕、覃恩、雪冤	穿井、伐木、畋猎、安葬、启攒、入宅、筑堤防、安抚边境、营建、补垣、选将、塞穴、取鱼、出师
2000-05-22	二零零零 庚辰[龙]年 四月小十九	周一	无	无	无	庚辰 辛巳 庚辰 辛巳	无	芒种 (6, 5)	龙	双子座	祭祀、恤孤茕、入宅、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、安葬、纳畜、纳采、针刺、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师、取鱼、疗目
2000-05-23	二零零零 庚辰[龙]年 四月小二十	周二	无	眼光圣母诞	世界读书日	庚辰 辛巳 辛巳 癸巳	无	芒种 (6, 5)	龙	双子座	祭祀、宴会、上官、进人口、经络、纳财、牧养、纳畜、举正直、临政、恤孤茕、颁诏、裁制、庆赐、覃恩、宣政事、施恩、雪冤、搬移、招贤、立券交易	出行、剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、补垣、筑堤防、整手足甲、取鱼、修饰垣墙、开仓、整容
2000-05-24	二零零零 庚辰[龙]年 四月小廿一	周三	无	无	无	庚辰 辛巳 壬午 乙巳	无	芒种 (6, 5)	龙	双子座	祭祀、宴会、沐浴、剃头、扫舍宇、恤孤茕、布政事、庆赐、整容、覃恩、雪冤	结婚姻、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、栽种、牧养、纳畜、纳采、修仓库、求嗣、上册、乘船渡水、开仓、筑堤防、营建、修宫室、搬移、招贤、缮城郭、苫盖、立券交易、取鱼
2000-05-25	二零零零 庚辰[龙]年 四月小廿二	周四	无	无	无	庚辰 辛巳 癸未 丁巳	无	芒种 (6, 5)	龙	双子座	覃恩、雪冤、恤孤茕、布政事	祭祀、出行、结婚姻、嫁娶、安床、剃头、修造、上官、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、解除、酝酿、颁诏、乘船渡水、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、搬移、修饰垣墙、招贤、远回、出师、取鱼
2000-05-26	二零零零 庚辰[龙]年 四月小廿三	周五	无	无	无	庚辰 辛巳 甲申 己巳	无	芒种 (6, 5)	龙	双子座	祭祀、沐浴、扫舍宇、平治道涂	出行、安床、修造、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、启攒、纳采、针刺、鼓铸、举正直、布政事、修仓库、上册、颁诏、乘船渡水、裁制、庆赐、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、塞穴、招贤、缮城郭、出师、取鱼
2000-05-27	二零零零 庚辰[龙]年 四月小廿四	周六	无	无	上海解放日	庚辰 辛巳 乙酉 辛巳	无	芒种 (6, 5)	龙	双子座	祭祀、沐浴、剃头、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、举正直、整手足甲、临政、恤孤茕、求嗣、赴任、酝酿、颁诏、裁制、入宅、整容、覃恩、营建、宣政事、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭	宴会、修置产室、畋猎、取鱼、开仓、苫盖
2000-05-28	二零零零 庚辰[龙]年 四月小廿五	周日	无	无	无	庚辰 辛巳 丙戌 癸巳	无	芒种 (6, 5)	龙	双子座	祭祀、宴会、沐浴、剃头、上表章、捕捉、举正直、整手足甲、恤孤茕、求嗣、上册、颁诏、裁制、庆赐、整容、覃恩、宣政事、施恩、雪冤、招贤、祈福	冠带、修置产室、畋猎、破土、启攒、取鱼、修宫室、开仓、筑堤防
2000-05-29	二零零零 庚辰[龙]年 四月小廿六	周一	无	无	无	庚辰 辛巳 丁亥 乙巳	无	芒种 (6, 5)	龙	双子座	沐浴、破屋坏垣	祭祀、结婚姻、宴会、嫁娶、安床、剃头、修造、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、营建、补垣、宣政事、施恩、修宫室、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、取鱼
2000-05-30	二零零零 庚辰[龙]年 四月小廿七	周二	无	无	无	庚辰 辛巳 戊子 丁巳	无	芒种 (6, 5)	龙	双子座	祭祀、宴会、沐浴、裁制、庆赐	上表章、冠带、修置产室、安葬、纳畜、营建、上册、招贤、筑堤防、修仓库
2000-05-31	二零零零 庚辰[龙]年 四月小廿八	周三	无	无	世界无烟日	庚辰 辛巳 己丑 己巳	无	芒种 (6, 5)	龙	双子座	祭祀、出行、结婚姻、宴会、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、纳畜、纳采、举正直、临政、求嗣、解除、上册、酝酿、裁制、庆赐、开仓、施恩、祈福、立券交易	冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、破土、营建、补垣、选将、远回、取鱼、出师、修饰垣墙、乘船渡水
