1981-05-01	一九八一 辛酉[鸡]年 三月小廿七	周五	国际劳动节	七殿泰山王诞	无	辛酉 壬辰 己卯 己巳	无	立夏 (5, 5)	鸡	金牛座	覃恩、雪冤、塞穴、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、针刺、举正直、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、庆赐、开仓、筑堤防、营建、安抚边境、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、缮城郭、立券交易、出师、疗目
1981-05-12	一九八一 辛酉[鸡]年 四月小初九	周二	无	无	无	辛酉 癸巳 庚寅 辛巳	无	小满 (5, 21)	鸡	金牛座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、纳财、捕捉、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、赴任、上册、颁诏、裁制、庆赐、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、搬移、招贤、祈福、缮城郭、立券交易、出师、诉讼	祭祀、安床、剃头、冠带、经络、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、启攒、鼓铸、整手足甲、布政事、酝酿、开仓、整容、筑堤防、补垣、修宫室、修饰垣墙、塞穴、取鱼
1981-05-13	一九八一 辛酉[鸡]年 四月小初十	周三	无	无	无	辛酉 癸巳 辛卯 癸巳	无	小满 (5, 21)	鸡	金牛座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、安碓硙、栽种、牧养、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、赴任、上册、颁诏、裁制、庆赐、入宅、覃恩、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、立券交易、出师	剃头、冠带、穿井、破屋坏垣、伐木、畋猎、补垣、鼓铸、整手足甲、取鱼、修饰垣墙、塞穴、开仓、布政事、筑堤防、整容
1981-05-14	一九八一 辛酉[鸡]年 四月小十一	周四	无	无	无	辛酉 癸巳 壬辰 乙巳	无	小满 (5, 21)	鸡	金牛座	诸事不宜	诸事不宜
1981-05-15	一九八一 辛酉[鸡]年 四月小十二	周五	无	无	无	辛酉 癸巳 癸巳 丁巳	无	小满 (5, 21)	鸡	金牛座	宴会、上官、进人口、经络、纳财、纳畜、举正直、临政、恤孤茕、酝酿、颁诏、裁制、庆赐、覃恩、安抚边境、宣政事、选将、施恩、雪冤、招贤、立券交易	出行、剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、栽种、破土、安葬、启攒、整手足甲、求嗣、解除、上册、开仓、整容、筑堤防、营建、补垣、修饰垣墙、祈福
1981-05-16	一九八一 辛酉[鸡]年 四月小十三	周六	无	无	无	辛酉 癸巳 甲午 己巳	无	小满 (5, 21)	鸡	金牛座	祭祀、宴会、沐浴、剃头、扫舍宇、安葬、整手足甲、恤孤茕、颁诏、裁制、庆赐、整容、覃恩、宣政事、雪冤	冠带、修置产室、畋猎、筑堤防、取鱼、修宫室、乘船渡水、开仓、苫盖
1981-05-17	一九八一 辛酉[鸡]年 四月小十四	周日	无	纯阳祖师诞	无	辛酉 癸巳 乙未 辛巳	无	小满 (5, 21)	鸡	金牛座	覃恩、雪冤、恤孤茕	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、启攒、鼓铸、整手足甲、布政事、乘船渡水、整容、筑堤防、补垣、修饰垣墙、远回、取鱼
1981-05-18	一九八一 辛酉[鸡]年 四月小十五	周一	无	钟离祖师诞	无	辛酉 癸巳 丙申 癸巳	无	小满 (5, 21)	鸡	金牛座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、平治道涂、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、入宅、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、搬移、修饰垣墙、招贤、祈福、缮城郭、立券交易、出师	诸事不忌
1981-05-19	一九八一 辛酉[鸡]年 四月小十六	周二	无	无	无	辛酉 癸巳 丁酉 乙巳	无	小满 (5, 21)	鸡	金牛座	沐浴、修造、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、整手足甲、酝酿、裁制、修宫室、搬移、缮城郭	出行、宴会、剃头、上表章、修置产室、上册、开仓、苫盖
1981-05-20	一九八一 辛酉[鸡]年 四月小十七	周三	无	十殿转轮王诞	无	辛酉 癸巳 戊戌 丁巳	无	小满 (5, 21)	鸡	金牛座	祭祀、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、纳财、捕捉、栽种、牧养、纳采、举正直、整手足甲、临政、求嗣、解除、裁制、庆赐、整容、施恩、修宫室、搬移、祈福、缮城郭	修仓库
1981-05-21	一九八一 辛酉[鸡]年 四月小十八	周四	无	紫徽大帝诞	无	辛酉 癸巳 己亥 己巳	小满	芒种 (6, 6)	鸡	双子座	沐浴、破屋坏垣、解除	嫁娶、剃头、上表章、冠带、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、安葬、启攒、鼓铸、整手足甲、布政事、修仓库、上册、颁诏、整容、筑堤防、营建、补垣、宣政事、修饰垣墙、塞穴、招贤、取鱼
1981-05-22	一九八一 辛酉[鸡]年 四月小十九	周五	无	无	无	辛酉 癸巳 庚子 辛巳	无	芒种 (6, 6)	鸡	双子座	祭祀、宴会、沐浴、恤孤茕、颁诏、裁制、庆赐、覃恩、宣政事、雪冤	冠带、进人口、经络、开市、纳财、修置产室、畋猎、整手足甲、开仓、筑堤防、修宫室、立券交易、取鱼
1981-05-23	一九八一 辛酉[鸡]年 四月小二十	周六	无	眼光圣母诞	世界读书日	辛酉 癸巳 辛丑 癸巳	无	芒种 (6, 6)	鸡	双子座	祭祀、出行、结婚姻、宴会、修造、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、赴任、上册、颁诏、裁制、庆赐、入宅、筑堤防、覃恩、营建、宣政事、施恩、修宫室、雪冤、招贤、祈福、缮城郭、立券交易	冠带、畋猎、远回、取鱼、乘船渡水
1981-05-24	一九八一 辛酉[鸡]年 四月小廿一	周日	无	无	无	辛酉 癸巳 壬寅 乙巳	无	芒种 (6, 6)	鸡	双子座	捕捉、赴任、诉讼	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、塞穴、缮城郭、立券交易、出师
1981-05-25	一九八一 辛酉[鸡]年 四月小廿二	周一	无	无	无	辛酉 癸巳 癸卯 丁巳	无	芒种 (6, 6)	鸡	双子座	入学、恤孤茕、覃恩、雪冤	竖柱上梁、经络、穿井、伐木、畋猎、安葬、纳采、布政事、酝酿、开仓、入宅、筑堤防、安抚边境、营建、补垣、选将、塞穴、取鱼、出师
1981-05-26	一九八一 辛酉[鸡]年 四月小廿三	周二	无	无	无	辛酉 癸巳 甲辰 己巳	无	芒种 (6, 6)	鸡	双子座	诸事不宜	诸事不宜
1981-05-27	一九八一 辛酉[鸡]年 四月小廿四	周三	无	无	上海解放日	辛酉 癸巳 乙巳 辛巳	无	芒种 (6, 6)	鸡	双子座	祭祀、宴会、上官、进人口、经络、纳财、牧养、纳畜、举正直、临政、恤孤茕、酝酿、颁诏、裁制、庆赐、覃恩、安抚边境、宣政事、选将、施恩、雪冤、搬移、招贤、立券交易	出行、剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、补垣、整手足甲、取鱼、修饰垣墙、开仓、筑堤防、整容
1981-05-28	一九八一 辛酉[鸡]年 四月小廿五	周四	无	无	无	辛酉 癸巳 丙午 癸巳	无	芒种 (6, 6)	鸡	双子座	祭祀、宴会、沐浴、剃头、扫舍宇、整手足甲、恤孤茕、颁诏、裁制、庆赐、入宅、整容、覃恩、宣政事、雪冤	冠带、修置产室、畋猎、启攒、取鱼、修宫室、乘船渡水、开仓、筑堤防、苫盖
1981-05-29	一九八一 辛酉[鸡]年 四月小廿六	周五	无	无	无	辛酉 癸巳 丁未 乙巳	无	芒种 (6, 6)	鸡	双子座	诸事不宜	祭祀、出行、结婚姻、嫁娶、安床、剃头、修造、上官、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、解除、酝酿、颁诏、乘船渡水、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、搬移、修饰垣墙、招贤、远回、出师、取鱼
1981-05-30	一九八一 辛酉[鸡]年 四月小廿七	周六	无	无	无	辛酉 癸巳 戊申 丁巳	无	芒种 (6, 6)	鸡	双子座	祭祀、沐浴、扫舍宇、平治道涂	上表章、开渠、穿井、启攒、针刺、布政事、上册、颁诏、筑堤防、安抚边境、营建、补垣、宣政事、选将、塞穴、招贤、出师
1981-05-31	一九八一 辛酉[鸡]年 四月小廿八	周日	无	无	世界无烟日	辛酉 癸巳 己酉 己巳	无	芒种 (6, 6)	鸡	双子座	祭祀、沐浴、剃头、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、举正直、整手足甲、临政、恤孤茕、布政事、求嗣、酝酿、裁制、整容、覃恩、修宫室、施恩、搬移、雪冤、祈福、缮城郭	宴会、上表章、修置产室、上册、苫盖
