1947-07-13	一九四七 丁亥[猪]年 五月小廿五	周日	无	无	无	丁亥 丁未 癸巳 丁巳	无	大暑 (7, 24)	猪	巨蟹座	入学、覃恩、雪冤、恤孤茕	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、远回、取鱼、出师
1947-07-14	一九四七 丁亥[猪]年 五月小廿六	周一	无	无	无	丁亥 丁未 甲午 己巳	无	大暑 (7, 24)	猪	巨蟹座	祭祀、经络、安葬、恤孤茕、赴任、酝酿、裁制、覃恩、补垣、雪冤、塞穴、诉讼	冠带、修置产室、开渠、穿井、捕捉、畋猎、针刺、疗目、取鱼、修宫室、开仓、布政事、苫盖
1947-07-15	一九四七 丁亥[猪]年 五月小廿七	周二	无	无	无	丁亥 丁未 乙未 辛巳	无	大暑 (7, 24)	猪	巨蟹座	出行、宴会、上官、进人口、经络、纳财、纳畜、举正直、临政、酝酿、裁制、庆赐、安抚边境、选将、施恩、招贤、立券交易、出师	剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、安葬、启攒、整手足甲、求嗣、解除、上册、开仓、整容、筑堤防、营建、补垣、修饰垣墙
1947-07-16	一九四七 丁亥[猪]年 五月小廿八	周三	无	无	无	丁亥 丁未 丙申 癸巳	无	大暑 (7, 24)	猪	巨蟹座	祭祀、沐浴、扫舍宇	结婚姻、宴会、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、启攒、纳畜、纳采、鼓铸、布政事、修仓库、上册、酝酿、颁诏、裁制、庆赐、开仓、筑堤防、营建、补垣、宣政事、修宫室、搬移、修饰垣墙、塞穴、招贤、缮城郭、立券交易
1947-07-17	一九四七 丁亥[猪]年 五月小廿九	周四	无	无	无	丁亥 丁未 丁酉 乙巳	无	大暑 (7, 24)	猪	巨蟹座	出行、结婚姻、嫁娶、沐浴、修造、求医疗病、上表章、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、栽种、牧养、安葬、纳畜、纳采、整手足甲、修仓库、求嗣、解除、赴任、上册、裁制、开仓、入宅、补垣、安抚边境、选将、修宫室、搬移、塞穴、祈福、缮城郭、立券交易、出师	祭祀、宴会、剃头、上官、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、启攒、针刺、鼓铸、举正直、临政、布政事、颁诏、筑堤防、营建、宣政事、施恩、修饰垣墙、招贤
1947-07-18	一九四七 丁亥[猪]年 六月小初一	周五	无	无	无	丁亥 丁未 戊戌 丁巳	无	大暑 (7, 24)	猪	巨蟹座	诸事不宜	诸事不宜
1947-07-19	一九四七 丁亥[猪]年 六月小初二	周六	无	无	无	丁亥 丁未 己亥 己巳	无	大暑 (7, 24)	猪	巨蟹座	祭祀、出行、结婚姻、宴会、沐浴、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、纳畜、纳采、举正直、临政、恤孤茕、求嗣、酝酿、颁诏、裁制、庆赐、覃恩、营建、宣政事、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭	嫁娶、立券、修置产室、畋猎、破土、启攒、开张、取鱼、乘船渡水
1947-07-20	一九四七 丁亥[猪]年 六月小初三	周日	无	无	无	丁亥 丁未 庚子 辛巳	无	大暑 (7, 24)	猪	巨蟹座	沐浴、剃头、捕捉、整手足甲、整容	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、临政、修仓库、求嗣、解除、上册、酝酿、乘船渡水、庆赐、开仓、筑堤防、安抚边境、补垣、营建、选将、施恩、修宫室、搬移、塞穴、祈福、招贤、缮城郭、立券交易、远回、出师、取鱼
1947-07-21	一九四七 丁亥[猪]年 六月小初四	周一	无	无	无	丁亥 丁未 辛丑 癸巳	无	大暑 (7, 24)	猪	巨蟹座	诸事不宜	诸事不宜
1947-07-22	一九四七 丁亥[猪]年 六月小初五	周二	无	无	无	丁亥 丁未 壬寅 乙巳	无	大暑 (7, 24)	猪	巨蟹座	结婚姻、宴会、嫁娶、安床、经络、开市、纳财、牧养、安葬、纳畜、纳采、酝酿、开仓、入宅、安抚边境、选将、搬移、立券交易	祭祀、出行、求医疗病、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、修仓库、求嗣、解除、乘船渡水、筑堤防、营建、补垣、修宫室、修饰垣墙、祈福、缮城郭
1947-07-23	一九四七 丁亥[猪]年 六月小初六	周三	无	无	无	丁亥 丁未 癸卯 丁巳	无	大暑 (7, 24)	猪	狮子座	出行、结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、纳采、举正直、临政、上册、酝酿、裁制、庆赐、施恩、立券交易	修置产室、开渠、穿井、平治道涂、破屋坏垣、营建、补垣、选将、整手足甲、出师、修饰垣墙、苫盖
1947-07-24	一九四七 丁亥[猪]年 六月小初七	周四	无	无	无	丁亥 丁未 甲辰 己巳	大暑	立秋 (8, 8)	猪	狮子座	祭祀、进人口、纳财、捕捉、牧养、纳畜、恤孤茕、覃恩、雪冤	冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、启攒、补垣、鼓铸、取鱼、修饰垣墙、乘船渡水、布政事、筑堤防
1947-07-25	一九四七 丁亥[猪]年 六月小初八	周五	无	无	无	丁亥 丁未 乙巳 辛巳	无	立秋 (8, 8)	猪	狮子座	入学、覃恩、雪冤、恤孤茕	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、远回、取鱼、出师
1947-07-26	一九四七 丁亥[猪]年 六月小初九	周六	无	无	无	丁亥 丁未 丙午 癸巳	无	立秋 (8, 8)	猪	狮子座	经络、安葬、赴任、酝酿、塞穴、诉讼	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、捕捉、畋猎、栽种、牧养、破土、纳畜、纳采、针刺、举正直、临政、布政事、修仓库、求嗣、解除、上册、颁诏、庆赐、开仓、筑堤防、营建、安抚边境、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、缮城郭、苫盖、立券交易、出师、取鱼、疗目
1947-07-27	一九四七 丁亥[猪]年 六月小初十	周日	无	无	无	丁亥 丁未 丁未 乙巳	无	立秋 (8, 8)	猪	狮子座	出行、宴会、上官、进人口、经络、纳财、纳畜、举正直、临政、赴任、酝酿、裁制、庆赐、入宅、施恩、搬移、招贤、立券交易	剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、安葬、启攒、整手足甲、求嗣、解除、上册、开仓、整容、筑堤防、营建、补垣、修饰垣墙
1947-07-28	一九四七 丁亥[猪]年 六月小十一	周一	无	无	无	丁亥 丁未 戊申 丁巳	无	立秋 (8, 8)	猪	狮子座	祭祀、沐浴、扫舍宇	上表章、开渠、穿井、安葬、启攒、布政事、上册、颁诏、筑堤防、营建、补垣、宣政事、塞穴、招贤
1947-07-29	一九四七 丁亥[猪]年 六月小十二	周二	无	无	无	丁亥 丁未 己酉 己巳	无	立秋 (8, 8)	猪	狮子座	出行、结婚姻、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、开仓、整容、覃恩、补垣、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、塞穴、招贤、祈福、缮城郭、立券交易、出师	祭祀、宴会、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、启攒、针刺、鼓铸、取鱼、修饰垣墙、入宅、筑堤防
1947-07-30	一九四七 丁亥[猪]年 六月小十三	周三	无	无	无	丁亥 丁未 庚戌 辛巳	无	立秋 (8, 8)	猪	狮子座	诸事不宜	诸事不宜
1947-07-31	一九四七 丁亥[猪]年 六月小十四	周四	无	无	无	丁亥 丁未 辛亥 癸巳	无	立秋 (8, 8)	猪	狮子座	祭祀、结婚姻、宴会、沐浴、上官、冠带、进人口、竖柱上梁、经络、牧养、纳畜、纳采、举正直、临政、恤孤茕、布政事、求嗣、裁制、庆赐、覃恩、施恩、雪冤、搬移、祈福	嫁娶、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、破土、安葬、启攒、上册、乘船渡水、筑堤防、安抚边境、营建、补垣、选将、修饰垣墙、出师、取鱼
