1913-04-12 10:00:00	一九一三 癸丑[牛]年 三月小初六	星期六	无	癸丑 丙辰 癸亥 丁巳	无	谷雨 (4, 21)	牛	白羊座	安床、沐浴、修造、纳财、栽种、牧养、赴任、纳畜、搬移、纳采、入宅、取鱼	嫁娶、求医疗病、畋猎、破土、安葬、启攒、开仓、祈福、求嗣、解除、修仓库、整手足甲
1913-04-13 10:00:00	一九一三 癸丑[牛]年 三月小初七	星期日	无	癸丑 丙辰 甲子 己巳	无	谷雨 (4, 21)	牛	白羊座	祭祀、宴会、沐浴、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、赴任、纳畜、施恩、布政事、祈福、举正直、覃恩、恤孤茕、立券交易、酝酿、诉讼、裁制、庆赐、雪冤、临政	求医疗病、修置产室、开渠、穿井、平治道涂、破屋坏垣、破土、安葬、营建、开仓、远回、补垣、修饰垣墙
1913-04-14 10:00:00	一九一三 癸丑[牛]年 三月小初八	星期一	六、殿、卞、城、王、诞	癸丑 丙辰 乙丑 辛巳	无	谷雨 (4, 21)	牛	白羊座	进人口、纳财、捕捉、纳畜、雪冤、覃恩、恤孤茕、取鱼	出行、结婚姻、安床、修造、求医疗病、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、栽种、破土、安葬、启攒、营建、开仓、招贤、施恩、解除、颁诏、修仓库、缮城郭、鼓铸、上册、纳采、宣政事、举正直、筑堤防、立券交易、酝酿、裁制、搬移、临政、修宫室
1913-04-15 10:00:00	一九一三 癸丑[牛]年 三月小初九	星期二	无	癸丑 丙辰 丙寅 癸巳	无	谷雨 (4, 21)	牛	白羊座	出行、结婚姻、宴会、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、开仓、招贤、施恩、选将、解除、颁诏、修仓库、祈福、缮城郭、上册、纳采、求嗣、宣政事、举正直、修宫室、覃恩、恤孤茕、立券交易、裁制、搬移、安抚边境、庆赐、雪冤、临政	祭祀、嫁娶、立券、伐木、畋猎、乘船渡水、针刺、开张、取鱼
1913-04-16 10:00:00	一九一三 癸丑[牛]年 三月小初十	星期三	无	癸丑 丙辰 丁卯 乙巳	无	谷雨 (4, 21)	牛	白羊座	祭祀、补垣、覃恩、恤孤茕、塞穴、裁制、雪冤	剃头、冠带、修置产室、开渠、穿井、畋猎、疗目、针刺、整容、取鱼
1913-04-17 10:00:00	一九一三 癸丑[牛]年 三月小十一	星期四	无	癸丑 丙辰 戊辰 丁巳	无	谷雨 (4, 21)	牛	白羊座	入宅、覃恩、恤孤茕、雪冤	安床、剃头、求医疗病、上表章、冠带、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、营建、开仓、解除、颁诏、整容、修饰垣墙、祈福、补垣、鼓铸、整手足甲、上册、求嗣、宣政事、筑堤防、塞穴
1913-04-18 10:00:00	一九一三 癸丑[牛]年 三月小十二	星期五	无	癸丑 丙辰 己巳 己巳	无	谷雨 (4, 21)	牛	白羊座	沐浴、扫舍宇、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、安葬、启攒、营建、招贤、颁诏、修饰垣墙、修仓库、布政事、祈福、缮城郭、补垣、鼓铸、上册、纳采、求嗣、宣政事、筑堤防、塞穴、裁制、搬移、庆赐、修宫室
1913-04-19 10:00:00	一九一三 癸丑[牛]年 三月小十三	星期六	无	癸丑 丙辰 庚午 辛巳	无	谷雨 (4, 21)	牛	白羊座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、苫盖、解除、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、入宅、鼓铸、上册、整手足甲、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
1913-04-20 10:00:00	一九一三 癸丑[牛]年 三月小十四	星期日	无	癸丑 丙辰 辛未 癸巳	无	谷雨 (4, 21)	牛	白羊座	诸事不宜	诸事不宜
1913-04-21 10:00:00	一九一三 癸丑[牛]年 三月小十五	星期一	昊、天、上、帝、诞	癸丑 丙辰 壬申 乙巳	谷雨	立夏 (5, 6)	牛	金牛座	祭祀、沐浴、扫舍宇、雪冤、覃恩、恤孤茕	安床、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、启攒、开仓、修饰垣墙、布政事、补垣、取鱼、鼓铸、远回、筑堤防、塞穴
1913-04-22 10:00:00	一九一三 癸丑[牛]年 三月小十六	星期二	列、宁、诞、辰、纪、念、日、准、提、菩、萨、诞	癸丑 丙辰 癸酉 丁巳	无	立夏 (5, 6)	牛	金牛座	祭祀、出行、结婚姻、嫁娶、沐浴、剃头、修造、求医疗病、上官、进人口、经络、纳财、扫舍宇、捕捉、安葬、赴任、纳畜、解除、整容、祈福、入宅、取鱼、整手足甲、纳采、立券交易、酝酿、搬移、安抚边境、临政	宴会、上表章、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、营建、开仓、招贤、施恩、选将、修饰垣墙、修仓库、出师、缮城郭、补垣、上册、乘船渡水、求嗣、举正直、修宫室、筑堤防、庆赐
1913-04-23 10:00:00	一九一三 癸丑[牛]年 三月小十七	星期三	世、界、图、书、和、版、权、日	癸丑 丙辰 甲戌 己巳	无	立夏 (5, 6)	牛	金牛座	祭祀、沐浴、求医疗病、解除	结婚姻、宴会、安床、修造、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、颁诏、修饰垣墙、布政事、修仓库、缮城郭、补垣、取鱼、鼓铸、上册、乘船渡水、纳采、求嗣、宣政事、举正直、筑堤防、立券交易、塞穴、酝酿、裁制、庆赐、临政、修宫室
1913-04-24 10:00:00	一九一三 癸丑[牛]年 三月小十八	星期四	无	癸丑 丙辰 乙亥 辛巳	无	立夏 (5, 6)	牛	金牛座	安床、沐浴、牧养、纳畜、取鱼	出行、结婚姻、嫁娶、修造、求医疗病、进人口、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、安葬、启攒、营建、开仓、解除、修饰垣墙、修仓库、缮城郭、祈福、补垣、纳采、求嗣、筑堤防、立券交易、修宫室
1913-04-25 10:00:00	一九一三 癸丑[牛]年 三月小十九	星期五	中、岳、大、帝、诞	癸丑 丙辰 丙子 癸巳	无	立夏 (5, 6)	牛	金牛座	祭祀、结婚姻、宴会、嫁娶、沐浴、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、安葬、赴任、开仓、纳畜、施恩、解除、祈福、纳采、求嗣、举正直、立券交易、酝酿、诉讼、裁制、庆赐、临政	修置产室、开渠、穿井、平治道涂、破屋坏垣、营建、远回、补垣、修饰垣墙、整手足甲
1913-04-26 10:00:00	一九一三 癸丑[牛]年 三月小二十	星期六	世、界、知、识、产、权、日、子、孙、娘、娘、诞	癸丑 丙辰 丁丑 乙巳	无	立夏 (5, 6)	牛	金牛座	进人口、纳财、捕捉、牧养、纳畜、覃恩、恤孤茕、雪冤	剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、启攒、整容、修饰垣墙、布政事、补垣、取鱼、鼓铸、乘船渡水、筑堤防
1913-04-27 10:00:00	一九一三 癸丑[牛]年 三月小廿一	星期日	无	癸丑 丙辰 戊寅 丁巳	无	立夏 (5, 6)	牛	金牛座	出行、结婚姻、宴会、求医疗病、上表章、上官、入学、竖柱上梁、开市、牧养、纳畜、招贤、施恩、解除、颁诏、祈福、入宅、上册、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、立券交易、裁制、搬移、庆赐、雪冤、临政	祭祀、平治道涂、破屋坏垣、伐木、畋猎、启攒、修饰垣墙、乘船渡水、补垣、筑堤防、针刺、出师、取鱼、整手足甲
1913-04-28 10:00:00	一九一三 癸丑[牛]年 三月小廿二	星期一	无	癸丑 丙辰 己卯 己巳	无	立夏 (5, 6)	牛	金牛座	覃恩、恤孤茕、塞穴、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、针刺、颁诏、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、上册、疗目、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、酝酿、搬移、安抚边境、庆赐、临政
1913-04-29 10:00:00	一九一三 癸丑[牛]年 三月小廿三	星期二	无	癸丑 丙辰 庚辰 辛巳	无	立夏 (5, 6)	牛	金牛座	祭祀、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、整容、修饰垣墙、修仓库、布政事、出师、祈福、缮城郭、补垣、鼓铸、上册、整手足甲、乘船渡水、纳采、求嗣、举正直、宣政事、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政、修宫室
1913-04-30 10:00:00	一九一三 癸丑[牛]年 三月小廿四	星期三	无	癸丑 丙辰 辛巳 癸巳	无	立夏 (5, 6)	牛	金牛座	沐浴、扫舍宇、覃恩、恤孤茕、雪冤	出行、结婚姻、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、安葬、启攒、营建、招贤、颁诏、修饰垣墙、修仓库、祈福、缮城郭、补垣、鼓铸、上册、纳采、求嗣、宣政事、筑堤防、塞穴、裁制、搬移、修宫室
