2047-07-01	2047-5a-9	30	成	一	丁卯 丙午 丙寅	无	小暑 (7, 7)	建党节	无	无	开市 交易 立券 挂匾 开光 解除 拆卸 动土 安床 修造 上梁 置产 栽种 破土 安葬	作灶 出火 祭祀 嫁娶 入宅
2047-07-02	2047-5a-10	30	收	二	丁卯 丙午 丁卯	无	小暑 (7, 7)	无	无	无	祭祀 结网 馀事勿取	入宅 出行 掘井 安葬
2047-07-03	2047-5a-11	30	开	三	丁卯 丙午 戊辰	无	小暑 (7, 7)	无	无	无	嫁娶 纳采 订盟 冠笄 造车器 祭祀 开光 祈福 求嗣 出行 解除 伐木 出火 入宅 拆卸 修造 动土 上梁 安床 栽种 破土	行丧 置产 安葬
2047-07-04	2047-5a-12	30	闭	四	丁卯 丙午 己巳	无	小暑 (7, 7)	无	无	无	嫁娶 合帐 裁衣 冠笄 伐木 上梁 出火 拆卸 移徙 修造 动土 安门 纳财 筑堤 栽种 塞穴	安床 祈福 出行 安葬 行丧 开光
2047-07-05	2047-5a-13	30	建	五	丁卯 丙午 庚午	无	小暑 (7, 7)	无	无	无	出行 教牛马 割蜜 馀事勿取	斋醮 盖屋 动土 破土
2047-07-06	2047-5a-14	30	除	六	丁卯 丙午 辛未	无	小暑 (7, 7)	无	无	无	嫁娶 祭祀 祈福 求嗣 开光 出行 解除 出火 拆卸 修造 进人口 入宅 移徙 动土 安床 纳畜 栽种 纳财 交易 立券 挂匾 造畜稠	安葬 开生坟 行丧
2047-07-07	2047-5a-15	30	除	日	丁卯 丁未 壬申	小暑	大暑 (7, 23)	无	无	无	嫁娶 祭祀 祈福 斋醮 治病 破土 安葬	开市 入宅
2047-07-08	2047-5a-16	30	满	一	丁卯 丁未 癸酉	无	大暑 (7, 23)	无	无	无	嫁娶 出行 开市 安床 入殓 启钻 安葬	祈福 动土 破土
2047-07-09	2047-5a-17	30	平	二	丁卯 丁未 甲戌	无	大暑 (7, 23)	无	无	无	嫁娶 祭祀 裁衣 结网 冠笄 沐浴	开仓 出货财 置产 安葬 动土 破土 掘井 栽种
2047-07-10	2047-5a-18	30	定	三	丁卯 丁未 乙亥	无	大暑 (7, 23)	无	无	无	入宅 移徙 安床 开光 祈福 求嗣 进人口 开市 交易 立券 出火 拆卸 修造 动土	嫁娶 破土 置产 栽种 安葬 修坟 行丧
2047-07-11	2047-5a-19	30	执	四	丁卯 丁未 丙子	无	大暑 (7, 23)	无	无	无	祭祀 解除 沐浴 整手足甲 入殓 移柩 破土 启钻 安葬	嫁娶 入宅 移徙 作灶 开市 交易 安门 栽种
2047-07-12	2047-5a-20	30	破	五	丁卯 丁未 丁丑	无	大暑 (7, 23)	无	无	无	破屋 坏垣 馀事勿取	诸事不宜
2047-07-13	2047-5a-21	30	危	六	丁卯 丁未 戊寅	无	大暑 (7, 23)	无	无	无	嫁娶 开光 出行 理发 作梁 出火 拆卸 修造 开市 交易 立券 挂匾 动土 入宅 移徙 安床 栽种	伐木 祭祀 纳畜
2047-07-14	2047-5a-22	30	成	日	丁卯 丁未 己卯	无	大暑 (7, 23)	无	无	无	嫁娶 开光 出行 祈福 求嗣 解除 拆卸 动土 修造 进人口 开市 交易 立券 挂匾 入宅 移徙 安床 栽种 纳畜 入殓 移柩 安葬	无
2047-07-15	2047-5a-23	30	收	一	丁卯 丁未 庚辰	无	大暑 (7, 23)	无	无	无	祭祀 作灶 纳财 栽种 纳畜 进人口	安葬 经络 修坟 破土 开市 安床 启钻 立碑
2047-07-16	2047-5a-24	30	开	二	丁卯 丁未 辛巳	无	大暑 (7, 23)	无	无	无	祭祀 祈福 求嗣 开光 开市 牧养 理发	嫁娶 出行 安葬 入殓 入宅 作灶 冠笄 上梁
