1930-11-01	1930-9-11	29	执	六	庚午 丙戌 乙卯	无	立冬 (11, 8)	万圣节	无	无	入殓 启钻 安葬 开生坟 成服 破土 祭祀 移柩 除服 馀事勿取	无
1930-11-02	1930-9-12	29	破	日	庚午 丙戌 丙辰	无	立冬 (11, 8)	无	无	无	坏垣 破屋 祭祀 解除 馀事勿取	诸事不宜
1930-11-03	1930-9-13	29	危	一	庚午 丙戌 丁巳	无	立冬 (11, 8)	无	无	无	会亲友 嫁娶 求嗣 牧养 纳畜 纳财 纳采 结网 进人口	上梁 伐木 作灶 出行 安葬 安门 理发
1930-11-04	1930-9-14	29	成	二	庚午 丙戌 戊午	无	立冬 (11, 8)	无	无	无	修造 入宅 出火 出行 嫁娶 安床 开光 开市 拆卸 祭祀 移徙	伐木 作梁 修坟 安葬 立碑 纳畜 置产 行丧
1930-11-05	1930-9-15	29	收	三	庚午 丙戌 己未	无	立冬 (11, 8)	无	无	无	作灶 嫁娶 祭祀 纳财	修坟 安葬 开市 立碑
1930-11-06	1930-9-16	29	开	四	庚午 丙戌 庚申	无	立冬 (11, 8)	无	无	无	交易 入宅 出火 出行 嫁娶 开光 开市 挂匾 栽种 求嗣 破土 祈福 祭祀 移徙 立券 纳财 解除 谢土 进人口	安床 安葬
1930-11-07	1930-9-17	29	闭	五	庚午 丙戌 辛酉	无	立冬 (11, 8)	无	无	无	作灶 入殓 动土 启钻 嫁娶 安床 安葬 成服 扫舍 整手足甲 求嗣 破土 祈福 祭祀 移柩 补垣 除服	开光 栽种
1930-11-08	1930-9-18	29	闭	六	庚午 丁亥 壬戌	立冬	小雪 (11, 23)	无	无	无	会亲友 冠笄 塞穴 嫁娶 安床 捕捉 纳采 置产 造畜稠	修坟 安葬 开光 掘井 谢土
1930-11-09	1930-9-19	29	建	日	庚午 丁亥 癸亥	无	小雪 (11, 23)	无	无	无	沐浴 祭祀 馀事勿取	诸事不宜
1930-11-10	1930-9-20	29	除	一	庚午 丁亥 甲子	无	小雪 (11, 23)	无	无	无	上梁 伐木 会亲友 修造 入殓 出行 动土 启钻 塑绘 嫁娶 开光 成服 扫舍 栽种 沐浴 祈福 祭祀 移柩 竖柱 纳畜 纳财 纳采 裁衣 订盟 赴任 除服	作灶 入宅 安床 开仓
