1997-01-13	一九九六 丙子[鼠]年 腊月小初五	周一	无	无	无	丙子 辛丑 乙卯 辛巳	无	大寒 (1, 20)	鼠	摩羯座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、开仓、庆赐、覃恩、补垣、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、塞穴、招贤、祈福、缮城郭、立券交易、出师	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、鼓铸、整手足甲、取鱼、修饰垣墙、乘船渡水、入宅、布政事、筑堤防、整容
1997-01-14	一九九六 丙子[鼠]年 腊月小初六	周二	无	无	无	丙子 辛丑 丙辰 癸巳	无	大寒 (1, 20)	鼠	摩羯座	平治道涂、入宅	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、塞穴、缮城郭、立券交易、出师
1997-01-15	一九九六 丙子[鼠]年 腊月小初七	周三	无	无	无	丙子 辛丑 丁巳 乙巳	无	大寒 (1, 20)	鼠	摩羯座	诸事不宜	出行、安床、剃头、求医疗病、上表章、上官、开市、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、鼓铸、举正直、布政事、求嗣、解除、上册、颁诏、乘船渡水、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、出师、取鱼
1997-01-16	一九九六 丙子[鼠]年 腊月小初八	周四	无	腊八节-释迦如来成佛之辰	无	丙子 辛丑 戊午 丁巳	无	大寒 (1, 20)	鼠	摩羯座	沐浴、剃头、捕捉、畋猎、赴任、诉讼、整手足甲、整容	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、栽种、牧养、破土、安葬、启攒、纳畜、纳采、举正直、临政、修仓库、求嗣、解除、上册、酝酿、乘船渡水、庆赐、开仓、筑堤防、安抚边境、营建、选将、施恩、修宫室、搬移、招贤、祈福、缮城郭、苫盖、立券交易、出师、取鱼
1997-01-17	一九九六 丙子[鼠]年 腊月小初九	周五	无	无	无	丙子 辛丑 己未 己巳	无	大寒 (1, 20)	鼠	摩羯座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
1997-01-18	一九九六 丙子[鼠]年 腊月小初十	周六	无	无	无	丙子 辛丑 庚申 辛巳	无	大寒 (1, 20)	鼠	摩羯座	祭祀、出行、沐浴、剃头、上表章、上官、竖柱上梁、开市、纳财、扫舍宇、伐木、牧养、安葬、纳畜、举正直、整手足甲、临政、恤孤茕、上册、酝酿、颁诏、裁制、开仓、整容、覃恩、宣政事、施恩、雪冤、搬移、招贤	修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、筑堤防、补垣、修宫室、修饰垣墙、取鱼
1997-01-19	一九九六 丙子[鼠]年 腊月小十一	周日	无	无	无	丙子 辛丑 辛酉 癸巳	无	大寒 (1, 20)	鼠	摩羯座	祭祀、出行、沐浴、剃头、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、扫舍宇、牧养、安葬、举正直、整手足甲、临政、求嗣、解除、赴任、上册、裁制、入宅、整容、施恩、祈福	宴会、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、补垣、营建、选将、出师、修饰垣墙、苫盖
1997-01-20	一九九六 丙子[鼠]年 腊月小十二	周一	无	无	无	丙子 辛丑 壬戌 乙巳	大寒	立春 (2, 4)	鼠	水瓶座	祭祀、捕捉、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
1997-01-21	一九九六 丙子[鼠]年 腊月小十三	周二	无	无	列宁逝世纪念日	丙子 辛丑 癸亥 丁巳	无	立春 (2, 4)	鼠	水瓶座	沐浴、入学、覃恩、雪冤、恤孤茕	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、远回、取鱼、出师
1997-01-22	一九九六 丙子[鼠]年 腊月小十四	周三	无	无	无	丙子 辛丑 甲子 己巳	无	立春 (2, 4)	鼠	水瓶座	祭祀、沐浴、经络、安葬、恤孤茕、酝酿、裁制、覃恩、雪冤、塞穴	诸事不忌
1997-01-23	一九九六 丙子[鼠]年 腊月小十五	周四	无	无	无	丙子 辛丑 乙丑 辛巳	无	立春 (2, 4)	鼠	水瓶座	祭祀、宴会、经络、纳财、牧养、纳畜、举正直、恤孤茕、布政事、酝酿、裁制、庆赐、覃恩、施恩、雪冤、立券交易	剃头、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、破土、启攒、补垣、筑堤防、整手足甲、取鱼、修饰垣墙、整容
1997-01-24	一九九六 丙子[鼠]年 腊月小十六	周五	无	南岳大帝诞	无	丙子 辛丑 丙寅 癸巳	无	立春 (2, 4)	鼠	水瓶座	出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上官、竖柱上梁、纳财、扫舍宇、栽种、牧养、纳采、整手足甲、临政、恤孤茕、布政事、求嗣、解除、裁制、庆赐、开仓、入宅、整容、覃恩、安抚边境、选将、修宫室、搬移、雪冤、祈福、缮城郭、立券交易、出师	祭祀、上表章、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、鼓铸、修仓库、上册、颁诏、筑堤防、营建、补垣、宣政事、修饰垣墙、塞穴、招贤
1997-01-25	一九九六 丙子[鼠]年 腊月小十七	周六	无	无	无	丙子 辛丑 丁卯 乙巳	无	立春 (2, 4)	鼠	水瓶座	恤孤茕、覃恩、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、入宅、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
1997-01-26	一九九六 丙子[鼠]年 腊月小十八	周日	无	无	国际海关日	丙子 辛丑 戊辰 丁巳	无	立春 (2, 4)	鼠	水瓶座	诸事不宜	诸事不宜
1997-01-27	一九九六 丙子[鼠]年 腊月小十九	周一	无	无	无	丙子 辛丑 己巳 己巳	无	立春 (2, 4)	鼠	水瓶座	结婚姻、宴会、冠带、竖柱上梁、经络、纳畜、纳采、临政、酝酿、裁制、庆赐	出行、求医疗病、上表章、开市、立券、修置产室、开渠、穿井、平治道涂、破屋坏垣、栽种、破土、安葬、启攒、鼓铸、整手足甲、开张、解除、上册、乘船渡水、开仓、筑堤防、安抚边境、补垣、营建、选将、修饰垣墙、塞穴、出师、取鱼
1997-01-28	一九九六 丙子[鼠]年 腊月小二十	周二	无	无	无	丙子 辛丑 庚午 辛巳	无	立春 (2, 4)	鼠	水瓶座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、捕捉、畋猎、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、赴任、上册、颁诏、裁制、庆赐、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、搬移、招贤、祈福、缮城郭、出师、诉讼	安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、启攒、酝酿、乘船渡水、开仓、筑堤防、补垣、修宫室、修饰垣墙、苫盖、立券交易、取鱼
1997-01-29	一九九六 丙子[鼠]年 腊月小廿一	周三	无	天猷上帝诞	无	丙子 辛丑 辛未 癸巳	无	立春 (2, 4)	鼠	水瓶座	解除、赴任、入宅	剃头、上表章、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、安葬、启攒、纳畜、鼓铸、整手足甲、布政事、修仓库、上册、颁诏、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、修饰垣墙、塞穴、招贤、出师
1997-01-30	一九九六 丙子[鼠]年 腊月小廿二	周四	无	无	无	丙子 辛丑 壬申 乙巳	无	立春 (2, 4)	鼠	水瓶座	祭祀、沐浴、剃头、经络、开市、纳财、扫舍宇、伐木、畋猎、牧养、安葬、纳畜、整手足甲、酝酿、开仓、整容、安抚边境、选将	结婚姻、宴会、嫁娶、修造、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、纳采、修仓库、求嗣、庆赐、筑堤防、营建、补垣、修宫室、修饰垣墙、缮城郭
1997-01-31	一九九六 丙子[鼠]年 腊月小廿三	周五	无	小年	无	丙子 辛丑 癸酉 丁巳	无	立春 (2, 4)	鼠	水瓶座	沐浴、剃头、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、牧养、安葬、举正直、临政、解除、上册、酝酿、裁制、整容、施恩	宴会、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、营建、补垣、选将、出师、修饰垣墙、乘船渡水、苫盖
