1900-12-12	一九零零 庚子[鼠]年 十月大十二	周三	无	无	西安事变纪念日	庚子 戊子 己未 己巳	无	冬至 (12, 22)	鼠	射手座	伐木、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
1900-12-13	一九零零 庚子[鼠]年 十月大十三	周四	无	无	南京大屠杀纪念日	庚子 戊子 庚申 辛巳	无	冬至 (12, 22)	鼠	射手座	出行、沐浴、剃头、求医疗病、上官、入学、竖柱上梁、扫舍宇、牧养、安葬、临政、裁制、入宅、解除、整容、举正直、酝酿、施恩、整手足甲	安床、修置产室、开渠、穿井、平治道涂、破屋坏垣、补垣、开仓、鼓铸、乘船渡水、出师、选将、营建、取鱼、修饰垣墙、塞穴
1900-12-14	一九零零 庚子[鼠]年 十月大十四	周五	无	无	无	庚子 戊子 辛酉 癸巳	无	冬至 (12, 22)	鼠	射手座	沐浴、剃头、扫舍宇、捕捉、畋猎、整容、整手足甲	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、乘船渡水、出师、纳畜、招贤、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、取鱼、上册、修宫室、立券交易、祈福
1900-12-15	一九零零 庚子[鼠]年 十月大十五	周六	无	下元节	无	庚子 戊子 壬戌 乙巳	无	冬至 (12, 22)	鼠	射手座	结婚姻、宴会、修造、入学、竖柱上梁、开市、修置产室、安碓硙、栽种、牧养、庆赐、裁制、纳采、解除、恤孤茕、纳畜、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、修宫室、祈福	剃头、进人口、开渠、伐木、捕捉、畋猎、整容、取鱼、整手足甲、开仓
1900-12-16	一九零零 庚子[鼠]年 十月大十六	周日	无	无	无	庚子 戊子 癸亥 丁巳	无	冬至 (12, 22)	鼠	射手座	沐浴、补垣、裁制、恤孤茕、筑堤防、覃恩、雪冤、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、破土、安葬、启攒、庆赐、临政、搬移、开仓、纳采、修仓库、颁诏、解除、出师、招贤、布政事、选将、举正直、疗目、针刺、求嗣、营建、施恩、安抚边境、宣政事、上册、修宫室、立券交易、祈福
1900-12-17	一九零零 庚子[鼠]年 十月大十七	周一	无	无	无	庚子 戊子 甲子 己巳	无	冬至 (12, 22)	鼠	射手座	诸事不宜	诸事不宜
1900-12-18	一九零零 庚子[鼠]年 十月大十八	周二	无	无	无	庚子 戊子 乙丑 辛巳	无	冬至 (12, 22)	鼠	射手座	祭祀、出行、宴会、沐浴、剃头、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、牧养、安葬、庆赐、临政、搬移、裁制、开仓、纳采、立券交易、赴任、解除、入宅、恤孤茕、出师、整容、布政事、选将、举正直、酝酿、覃恩、求嗣、雪冤、缮城郭、施恩、安抚边境、整手足甲、修宫室、祈福	冠带
1900-12-19	一九零零 庚子[鼠]年 十月大十九	周三	无	无	无	庚子 戊子 丙寅 癸巳	无	冬至 (12, 22)	鼠	射手座	宴会、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、庆赐、补垣、裁制、立券交易、解除、恤孤茕、布政事、选将、覃恩、求嗣、雪冤、缮城郭、安抚边境、塞穴、上册、修宫室、祈福	祭祀、招贤、远回、整手足甲
1900-12-20	一九零零 庚子[鼠]年 十月大二十	周四	无	无	无	庚子 戊子 丁卯 乙巳	无	冬至 (12, 22)	鼠	射手座	祭祀、平治道涂、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、修饰垣墙、上册、塞穴、修宫室、整手足甲、祈福
1900-12-21	一九零零 庚子[鼠]年 十月大廿一	周五	无	无	无	庚子 戊子 戊辰 丁巳	无	冬至 (12, 22)	鼠	射手座	祭祀、结婚姻、宴会、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、安葬、庆赐、临政、裁制、纳采、赴任、恤孤茕、纳畜、布政事、覃恩、酝酿、雪冤、缮城郭、修宫室、祈福、诉讼	出行、求医疗病、开市、修置产室、栽种、开仓、整手足甲、解除
1900-12-22	一九零零 庚子[鼠]年 十月大廿二	周六	无	无	无	庚子 戊子 己巳 己巳	冬至	小寒 (1, 6)	鼠	射手座	祭祀、捕捉、恤孤茕、覃恩、雪冤	出行、安床、剃头、冠带、进人口、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、启攒、补垣、鼓铸、布政事、整容、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
1900-12-23	一九零零 庚子[鼠]年 十月大廿三	周日	无	无	无	庚子 戊子 庚午 辛巳	无	小寒 (1, 6)	鼠	摩羯座	祭祀、沐浴	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、立券、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、开张、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、乘船渡水、纳畜、出师、解除、入宅、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、取鱼、上册、苫盖、塞穴、整手足甲、修宫室、立券交易、祈福
1900-12-24	一九零零 庚子[鼠]年 十月大廿四	周一	无	无	平安夜	庚子 戊子 辛未 癸巳	无	小寒 (1, 6)	鼠	摩羯座	伐木、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
1900-12-25	一九零零 庚子[鼠]年 十月大廿五	周二	无	无	圣诞节	庚子 戊子 壬申 乙巳	无	小寒 (1, 6)	鼠	摩羯座	祭祀、出行、沐浴、剃头、求医疗病、上表章、上官、入学、竖柱上梁、经络、扫舍宇、牧养、安葬、临政、裁制、颁诏、恤孤茕、解除、招贤、整容、覃恩、举正直、酝酿、求嗣、雪冤、施恩、宣政事、上册、整手足甲、祈福	安床、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、补垣、取鱼、鼓铸、修饰垣墙、塞穴、乘船渡水、开仓
1900-12-26	一九零零 庚子[鼠]年 十月大廿六	周三	无	无	毛泽东诞辰纪念日	庚子 戊子 癸酉 丁巳	无	小寒 (1, 6)	鼠	摩羯座	沐浴、剃头、扫舍宇、捕捉、畋猎、整容、整手足甲	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、招贤、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、上册、修宫室、立券交易、祈福
1900-12-27	一九零零 庚子[鼠]年 十月大廿七	周四	无	无	无	庚子 戊子 甲戌 己巳	无	小寒 (1, 6)	鼠	摩羯座	宴会、修造、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、裁制、纳采、解除、恤孤茕、覃恩、举正直、求嗣、雪冤、缮城郭、施恩、修宫室、祈福	嫁娶、伐木、捕捉、畋猎、选将、取鱼、安抚边境、乘船渡水、出师
1900-12-28	一九零零 庚子[鼠]年 十月大廿八	周五	无	无	无	庚子 戊子 乙亥 辛巳	无	小寒 (1, 6)	鼠	摩羯座	祭祀、沐浴、纳财、牧养、补垣、裁制、赴任、入宅、恤孤茕、筑堤防、选将、覃恩、雪冤、缮城郭、安抚边境、塞穴	嫁娶、上表章、修置产室、开渠、穿井、破土、安葬、启攒、营建、布政事、上册、针刺、疗目、出师
1900-12-29	一九零零 庚子[鼠]年 十月大廿九	周六	无	无	无	庚子 戊子 丙子 癸巳	无	小寒 (1, 6)	鼠	摩羯座	诸事不宜	诸事不宜
1900-12-30	一九零零 庚子[鼠]年 十月大三十	周日	无	无	无	庚子 戊子 丁丑 乙巳	无	小寒 (1, 6)	鼠	摩羯座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、上表章、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、栽种、牧养、安葬、庆赐、临政、搬移、裁制、纳采、颁诏、解除、恤孤茕、招贤、选将、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、整手足甲、立券交易、祈福	剃头、冠带、畋猎、取鱼
1900-12-31	一九零零 庚子[鼠]年 冬月小初一	周一	无	无	无	庚子 戊子 戊寅 丁巳	无	小寒 (1, 6)	鼠	摩羯座	宴会、嫁娶、修造、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、破土、庆赐、补垣、裁制、立券交易、解除、求嗣、缮城郭、塞穴、上册、修宫室、祈福	祭祀、招贤、远回、整手足甲
