1999-12-01	1999-10-24	30	建	三	己卯 乙亥 丁亥	无	大雪 (12, 7)	无	无	无	沐浴 祭祀 馀事勿取	无
1999-12-02	1999-10-25	30	除	四	己卯 乙亥 戊子	无	大雪 (12, 7)	无	无	无	修造 入宅 出火 出行 动土 嫁娶 安葬 开光 成服 拆卸 掘井 栽种 移徙 纳畜 解除 进人口 除服	安床 置产
1999-12-03	1999-10-26	30	满	五	己卯 乙亥 己丑	无	大雪 (12, 7)	无	无	无	会亲友 安床 安门 开光 理发 结网 裁衣	上梁 伐木 入宅 冠笄 出火 出行 动土 嫁娶 安葬 栽种 祈福 移徙
1999-12-04	1999-10-27	30	平	六	己卯 乙亥 庚寅	无	大雪 (12, 7)	无	无	无	上梁 交易 修造 入宅 出火 出行 动土 嫁娶 安床 开光 开市 拆卸 栽种 移徙 立券	伐木 作灶 掘井 祈福 祭祀 谢土
1999-12-05	1999-10-28	30	定	日	己卯 乙亥 辛卯	无	大雪 (12, 7)	无	无	无	交易 伐木 入宅 出火 出行 嫁娶 安床 安葬 开光 开市 拆卸 挂匾 求嗣 祈福 祭祀 移徙 立券	掘井 栽种 置产
1999-12-06	1999-10-29	30	执	一	己卯 乙亥 壬辰	无	大雪 (12, 7)	无	无	无	整手足甲 理发 祭祀 解除 进人口 针灸	上梁 作灶 修造 入宅 出行 动土 嫁娶 安葬 开市 开池 掘井 破土 移徙 造船
1999-12-07	1999-10-30	30	执	二	己卯 丙子 癸巳	大雪	冬至 (12, 22)	无	无	无	上梁 伐木 修造 入宅 冠笄 动土 塑绘 嫁娶 安床 安香 开光 拆卸 捕捉 放水 畋猎 祭祀 移徙 竖柱 纳采 结网 裁衣 进人口	修坟 出行 安葬 开市
1999-12-08	1999-11-1	30	破	三	己卯 丙子 甲午	无	冬至 (12, 22)	无	无	无	坏垣 求医 破屋 祭祀 馀事勿取	诸事不宜
1999-12-09	1999-11-2	30	危	四	己卯 丙子 乙未	无	冬至 (12, 22)	无	无	无	入宅 冠笄 出行 启钻 安床 安机械 安香 成服 斋醮 祈福 祭祀 移徙 移柩 除服	作灶 安门 开光 栽种 治病
1999-12-10	1999-11-3	30	成	五	己卯 丙子 丙申	无	冬至 (12, 22)	无	无	无	修坟 修造 入殓 出行 启钻 塑绘 成服 拆卸 斋醮 移徙 移柩 立碑 解除 谢土 造船 除服	无
1999-12-11	1999-11-4	30	收	六	己卯 丙子 丁酉	无	冬至 (12, 22)	无	无	无	安床 捕捉 沐浴 畋猎 祭祀 纳财	开市 破土
1999-12-12	1999-11-5	30	开	日	己卯 丙子 戊戌	无	冬至 (12, 22)	无	无	无	上梁 修造 动土 破土 祈福 祭祀 纳采 订盟	作灶 嫁娶
1999-12-13	1999-11-6	30	闭	一	己卯 丙子 己亥	无	冬至 (12, 22)	无	无	无	出行 塞穴 沐浴 理发 补垣	入宅 安葬
1999-12-14	1999-11-7	30	建	二	己卯 丙子 庚子	无	冬至 (12, 22)	无	无	无	教牛马 馀事勿取	入宅 动土 破土
1999-12-15	1999-11-8	30	除	三	己卯 丙子 辛丑	无	冬至 (12, 22)	无	无	无	上梁 出行 嫁娶 求医 治病 祈福 祭祀 纳畜	安葬 开市
1999-12-16	1999-11-9	30	满	四	己卯 丙子 壬寅	无	冬至 (12, 22)	无	无	无	上梁 启钻 安机械 安葬 开光 开市 立券 解除	嫁娶 祈福
1999-12-17	1999-11-10	30	平	五	己卯 丙子 癸卯	无	冬至 (12, 22)	无	无	无	平治道涂 馀事勿取	诸事不宜
1999-12-18	1999-11-11	30	定	六	己卯 丙子 甲辰	无	冬至 (12, 22)	无	无	无	修造 入殓 出火 动土 塑绘 安机械 安葬 成服 拆卸 斋醮 栽种 求嗣 牧养 破土 移柩 纳畜 纳采 订盟 造桥 除服	嫁娶 开市
