2084-05-12	二零八四 甲辰[龙]年 四月小初八	周五	无	释迦牟尼佛诞	无	甲辰 己巳 辛卯 癸巳	无	小满 (5, 20)	龙	金牛座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、安碓硙、栽种、牧养、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、覃恩、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、立券交易、出师	安床、剃头、冠带、进人口、经络、穿井、破屋坏垣、伐木、畋猎、鼓铸、整手足甲、布政事、酝酿、开仓、入宅、整容、筑堤防、补垣、修饰垣墙、塞穴、取鱼
2084-05-13	二零八四 甲辰[龙]年 四月小初九	周六	无	无	无	甲辰 己巳 壬辰 乙巳	无	小满 (5, 20)	龙	金牛座	诸事不宜	诸事不宜
2084-05-14	二零八四 甲辰[龙]年 四月小初十	周日	无	无	母亲节	甲辰 己巳 癸巳 丁巳	无	小满 (5, 20)	龙	金牛座	宴会、上官、进人口、经络、纳财、纳畜、举正直、临政、恤孤茕、酝酿、颁诏、裁制、庆赐、覃恩、安抚边境、宣政事、选将、施恩、雪冤、招贤、立券交易	出行、剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、栽种、破土、安葬、启攒、整手足甲、求嗣、解除、上册、开仓、整容、筑堤防、营建、补垣、修饰垣墙、祈福
2084-05-15	二零八四 甲辰[龙]年 四月小十一	周一	无	无	无	甲辰 己巳 甲午 己巳	无	小满 (5, 20)	龙	金牛座	祭祀、宴会、沐浴、剃头、扫舍宇、安葬、整手足甲、恤孤茕、颁诏、裁制、庆赐、入宅、整容、覃恩、宣政事、雪冤	冠带、修置产室、畋猎、筑堤防、取鱼、修宫室、乘船渡水、开仓、苫盖
2084-05-16	二零八四 甲辰[龙]年 四月小十二	周二	无	无	无	甲辰 己巳 乙未 辛巳	无	小满 (5, 20)	龙	金牛座	覃恩、雪冤、恤孤茕	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、启攒、鼓铸、整手足甲、布政事、乘船渡水、整容、筑堤防、补垣、修饰垣墙、远回、取鱼
2084-05-17	二零八四 甲辰[龙]年 四月小十三	周三	无	无	无	甲辰 己巳 丙申 癸巳	无	小满 (5, 20)	龙	金牛座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、平治道涂、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、修饰垣墙、搬移、招贤、祈福、缮城郭、立券交易、出师	诸事不忌
2084-05-18	二零八四 甲辰[龙]年 四月小十四	周四	无	纯阳祖师诞	无	甲辰 己巳 丁酉 乙巳	无	小满 (5, 20)	龙	金牛座	沐浴、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、整手足甲、酝酿、裁制、修宫室、搬移、缮城郭	出行、宴会、剃头、上表章、修置产室、上册、乘船渡水、开仓、苫盖
2084-05-19	二零八四 甲辰[龙]年 四月小十五	周五	无	钟离祖师诞	无	甲辰 己巳 戊戌 丁巳	无	小满 (5, 20)	龙	金牛座	祭祀、结婚姻、宴会、沐浴、上表章、上官、竖柱上梁、纳财、捕捉、栽种、牧养、纳采、举正直、临政、求嗣、解除、裁制、庆赐、施恩、修宫室、祈福、缮城郭	修仓库
2084-05-20	二零八四 甲辰[龙]年 四月小十六	周六	无	无	无	甲辰 己巳 己亥 己巳	小满	芒种 (6, 5)	龙	金牛座	沐浴、破屋坏垣、解除、赴任、入宅	嫁娶、剃头、上表章、冠带、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、安葬、启攒、鼓铸、整手足甲、布政事、修仓库、上册、颁诏、整容、筑堤防、营建、补垣、宣政事、修饰垣墙、塞穴、招贤、取鱼
2084-05-21	二零八四 甲辰[龙]年 四月小十七	周日	无	十殿转轮王诞	无	甲辰 己巳 庚子 辛巳	无	芒种 (6, 5)	龙	双子座	祭祀、宴会、沐浴、恤孤茕、颁诏、裁制、庆赐、覃恩、宣政事、雪冤	冠带、进人口、经络、开市、纳财、修置产室、畋猎、开仓、筑堤防、修宫室、立券交易、取鱼
