1980-03-12	一九八零 庚申[猴]年 正月大廿六	周三	无	无	孙中山逝世纪念日,中国植树节	庚申 己卯 甲申 己巳	无	春分 (3, 20)	猴	双鱼座	祭祀、沐浴、扫舍宇、捕捉、恤孤茕、覃恩、雪冤	安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、启攒、鼓铸、布政事、酝酿、开仓、筑堤防、补垣、修宫室、修饰垣墙、塞穴、立券交易
1980-03-13	一九八零 庚申[猴]年 正月大廿七	周四	无	无	无	庚申 己卯 乙酉 辛巳	无	春分 (3, 20)	猴	双鱼座	诸事不宜	诸事不宜
1980-03-14	一九八零 庚申[猴]年 正月大廿八	周五	无	无	马克思逝世纪念日	庚申 己卯 丙戌 癸巳	无	春分 (3, 20)	猴	双鱼座	祭祀、赴任、取鱼、诉讼	上表章、开渠、穿井、布政事、上册、颁诏、筑堤防、营建、补垣、宣政事、塞穴、招贤、出师
1980-03-15	一九八零 庚申[猴]年 正月大廿九	周六	无	无	国际消费者权益日	庚申 己卯 丁亥 乙巳	无	春分 (3, 20)	猴	双鱼座	祭祀、出行、结婚姻、宴会、沐浴、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、纳畜、纳采、举正直、临政、求嗣、解除、上册、酝酿、裁制、庆赐、开仓、筑堤防、修宫室、施恩、搬移、祈福、缮城郭、立券交易	嫁娶、剃头、破土、安葬、启攒、整容
1980-03-16	一九八零 庚申[猴]年 正月大三十	周日	无	无	无	庚申 己卯 戊子 丁巳	无	春分 (3, 20)	猴	双鱼座	诸事不宜	诸事不宜
1980-03-17	一九八零 庚申[猴]年 二月小初一	周一	无	一殿秦广王诞	国际航海日	庚申 己卯 己丑 己巳	无	春分 (3, 20)	猴	双鱼座	出行、结婚姻、宴会、嫁娶、修造、上表章、上官、入学、竖柱上梁、修置产室、开渠、穿井、安碓硙、牧养、纳畜、纳采、举正直、临政、恤孤茕、求嗣、解除、上册、颁诏、裁制、庆赐、覃恩、营建、宣政事、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭	冠带、伐木、畋猎、补垣、鼓铸、整手足甲、取鱼、乘船渡水、塞穴、开仓
1980-03-18	一九八零 庚申[猴]年 二月小初二	周二	无	春龙节-福德土地正神诞	全国科技人才活动日	庚申 己卯 庚寅 辛巳	无	春分 (3, 20)	猴	双鱼座	纳财、栽种、牧养、安葬、纳畜、恤孤茕、酝酿、裁制、入宅、筑堤防、覃恩、补垣、安抚边境、选将、雪冤、塞穴、立券交易	祭祀、安床、进人口、竖柱上梁、修置产室、开渠、穿井、针刺、营建、疗目、上册、远回、修宫室、布政事、求嗣、解除
1980-03-19	一九八零 庚申[猴]年 二月小初三	周三	无	文昌帝君诞	无	庚申 己卯 辛卯 癸巳	无	春分 (3, 20)	猴	双鱼座	宴会、上官、进人口、经络、纳财、纳畜、举正直、临政、裁制、庆赐、安抚边境、选将、施恩、招贤、立券交易、出师	剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、安葬、整手足甲、求嗣、解除、上册、乘船渡水、开仓、整容、筑堤防、营建、补垣、搬移、修饰垣墙、苫盖、取鱼
1980-03-20	一九八零 庚申[猴]年 二月小初四	周四	无	无	无	庚申 己卯 壬辰 乙巳	春分	清明 (4, 4)	猴	双鱼座	出行、沐浴、剃头、扫舍宇、举正直、整手足甲、施恩、临政、整容、解除	宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、经络、开市、纳财、修置产室、开渠、穿井、畋猎、牧养、破土、安葬、启攒、纳畜、纳采、修仓库、求嗣、上册、酝酿、庆赐、开仓、安抚边境、选将、祈福、立券交易、出师
1980-03-21	一九八零 庚申[猴]年 二月小初五	周五	无	无	世界森林日,世界睡眠日	庚申 己卯 癸巳 丁巳	无	清明 (4, 4)	猴	白羊座	宴会、竖柱上梁、经络、开市、纳财、裁制、庆赐、塞穴、祈福、立券交易	祭祀、出行、结婚姻、嫁娶、修造、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、捕捉、畋猎、栽种、破土、启攒、纳畜、纳采、举正直、颁诏、乘船渡水、筑堤防、安抚边境、营建、宣政事、选将、施恩、修饰垣墙、招贤、出师、取鱼
1980-03-22	一九八零 庚申[猴]年 二月小初六	周六	无	东华帝君诞	世界水日	庚申 己卯 甲午 己巳	无	清明 (4, 4)	猴	白羊座	祭祀、平治道涂、恤孤茕、覃恩、雪冤、修饰垣墙	冠带、修置产室、开渠、穿井、畋猎、鼓铸、整手足甲、取鱼、布政事、筑堤防、苫盖
1980-03-23	一九八零 庚申[猴]年 二月小初七	周日	无	无	世界气象日	庚申 己卯 乙未 辛巳	无	清明 (4, 4)	猴	白羊座	祭祀、宴会、经络、安碓硙、恤孤茕、求嗣、赴任、酝酿、裁制、庆赐、入宅、雪冤、祈福	求医疗病、上表章、上官、修置产室、栽种、牧养、安葬、启攒、针刺、安抚边境、筑堤防、营建、上册、选将、出师、临政、开仓、解除
1980-03-24	一九八零 庚申[猴]年 二月小初八	周一	无	释迦牟尼佛出家	世界防治结核病日	庚申 己卯 丙申 癸巳	无	清明 (4, 4)	猴	白羊座	祭祀、沐浴、扫舍宇、捕捉、恤孤茕、覃恩、雪冤	冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、启攒、补垣、鼓铸、取鱼、修饰垣墙、塞穴、布政事、筑堤防
1980-03-25	一九八零 庚申[猴]年 二月小初九	周二	无	无	无	庚申 己卯 丁酉 乙巳	无	清明 (4, 4)	猴	白羊座	诸事不宜	诸事不宜
1980-03-26	一九八零 庚申[猴]年 二月小初十	周三	无	无	无	庚申 己卯 戊戌 丁巳	无	清明 (4, 4)	猴	白羊座	赴任、取鱼、诉讼	出行、剃头、修造、求医疗病、上表章、上官、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、开仓、整容、筑堤防、营建、补垣、宣政事、施恩、修宫室、修饰垣墙、塞穴、招贤、祈福、缮城郭、出师
1980-03-27	一九八零 庚申[猴]年 二月小十一	周四	无	无	无	庚申 己卯 己亥 己巳	无	清明 (4, 4)	猴	白羊座	祭祀、出行、结婚姻、宴会、沐浴、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、筑堤防、覃恩、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、立券交易、出师	嫁娶、立券、畋猎、破土、启攒、取鱼、开张
1980-03-28	一九八零 庚申[猴]年 二月小十二	周五	无	无	无	庚申 己卯 庚子 辛巳	无	清明 (4, 4)	猴	白羊座	沐浴、捕捉、入宅	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师、取鱼
1980-03-29	一九八零 庚申[猴]年 二月小十三	周六	无	无	无	庚申 己卯 辛丑 癸巳	无	清明 (4, 4)	猴	白羊座	出行、宴会、修造、求医疗病、上表章、上官、入学、修置产室、开渠、穿井、安碓硙、牧养、纳畜、举正直、临政、恤孤茕、求嗣、解除、上册、颁诏、裁制、庆赐、覃恩、安抚边境、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、出师	结婚姻、嫁娶、冠带、伐木、畋猎、安葬、鼓铸、酝酿、乘船渡水、开仓、补垣、塞穴、立券交易、取鱼
1980-03-30	一九八零 庚申[猴]年 二月小十四	周日	无	无	无	庚申 己卯 壬寅 乙巳	无	清明 (4, 4)	猴	白羊座	经络、纳财、栽种、牧养、安葬、纳畜、恤孤茕、酝酿、裁制、筑堤防、覃恩、补垣、安抚边境、选将、雪冤、塞穴、立券交易	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、纳采、针刺、举正直、临政、布政事、求嗣、解除、上册、颁诏、乘船渡水、庆赐、开仓、营建、宣政事、施恩、修宫室、搬移、招贤、祈福、远回、出师、疗目
1980-03-31	一九八零 庚申[猴]年 二月小十五	周一	无	释迦牟尼佛般涅槃	无	庚申 己卯 癸卯 丁巳	无	清明 (4, 4)	猴	白羊座	出行、宴会、上官、进人口、经络、纳财、纳畜、举正直、临政、酝酿、裁制、庆赐、安抚边境、选将、施恩、招贤、立券交易、出师	剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、安葬、整手足甲、求嗣、解除、上册、乘船渡水、开仓、整容、筑堤防、营建、补垣、修饰垣墙、苫盖、取鱼
