1978-06-01	1978-4-26	30	除	四	戊午 丁巳 甲午	无	芒种 (6, 6)	儿童节	无	无	入宅 入殓 出火 出行 动土 嫁娶 安葬 开光 栽种 求嗣 牧养 破土 祈福 祭祀 移徙 纳畜 纳采 解除 订盟	作灶 安床 开仓 盖屋
1978-06-02	1978-4-27	30	满	五	戊午 丁巳 乙未	无	芒种 (6, 6)	无	无	无	作灶 冠笄 塞穴 安床 开光 纳采 裁衣 进人口 造仓	伐木 作梁 修造 出行 动土 嫁娶 安葬 栽种 谢土
1978-06-03	1978-4-28	30	平	六	戊午 丁巳 丙申	无	芒种 (6, 6)	无	无	无	上梁 交易 修造 出行 动土 嫁娶 开市 挂匾 栽种 理发 移徙 立券 纳畜 纳采 裁衣 进人口	伐木 安床 安葬 祈福 祭祀
1978-06-04	1978-4-29	30	定	日	戊午 丁巳 丁酉	无	芒种 (6, 6)	无	无	无	交易 修造 出行 动土 启钻 安床 安机械 安葬 定磉 开市 成服 挂匾 斋醮 盖屋 破土 祈福 祭祀 立券 立碑 起基 除服	作灶 入宅 嫁娶 理发 移徙
1978-06-05	1978-4-30	30	执	一	戊午 丁巳 戊戌	无	芒种 (6, 6)	无	无	无	修造 入宅 入殓 出火 出行 动土 嫁娶 安床 安葬 开光 拆卸 挂匾 栽种 求嗣 破土 祈福 祭祀 移徙 移柩 纳采 解除 订盟 谢土 进人口	合寿木 开市 立券 造船
1978-06-06	1978-5-1	29	执	二	戊午 戊午 己亥	芒种	夏至 (6, 22)	无	无	无	修造 入宅 出行 动土 祈福 祭祀 移徙 纳采 订盟	安葬 开市
1978-06-07	1978-5-2	29	破	三	戊午 戊午 庚子	无	夏至 (6, 22)	无	无	无	诸事不宜	无
1978-06-08	1978-5-3	29	危	四	戊午 戊午 辛丑	无	夏至 (6, 22)	无	无	无	入殓 嫁娶 安葬 破土 祈福 祭祀 纳采 订盟	开光 开市
1978-06-09	1978-5-4	29	成	五	戊午 戊午 壬寅	无	夏至 (6, 22)	无	无	无	上梁 入殓 动土 安葬 开光 求医 治病 破土	嫁娶
1978-06-10	1978-5-5	29	收	六	戊午 戊午 癸卯	无	夏至 (6, 22)	无	无	无	栽种 祭祀 馀事勿取	诸事不宜
1978-06-11	1978-5-6	29	开	日	戊午 戊午 甲辰	无	夏至 (6, 22)	无	无	无	上梁 伐木 修造 入宅 出火 出行 嫁娶 安床 开光 拆卸 栽种 求嗣 祈福 祭祀 移徙 移柩 解除	交易 安葬 开市 立券
1978-06-12	1978-5-7	29	闭	一	戊午 戊午 乙巳	无	夏至 (6, 22)	无	无	无	上梁 伐木 作梁 作灶 修造 冠笄 动土 合帐 嫁娶 安门 求嗣 竖柱 筑堤 纳采 裁衣 起基 造畜稠	出行 安葬 栽种 祈福
1978-06-13	1978-5-8	29	建	二	戊午 戊午 丙午	无	夏至 (6, 22)	无	无	无	祭祀 解除 馀事勿取	诸事不宜
1978-06-14	1978-5-9	29	除	三	戊午 戊午 丁未	无	夏至 (6, 22)	无	无	无	交易 入宅 出火 出行 动土 嫁娶 安床 开光 开市 拆卸 挂匾 栽种 求嗣 祈福 祭祀 移徙 立券	伐木 作梁 安葬 行丧
1978-06-15	1978-5-10	29	满	四	戊午 戊午 戊申	无	夏至 (6, 22)	无	无	无	上梁 交易 伐木 修造 入宅 入殓 出火 出行 安葬 开光 开市 成服 拆卸 栽种 求嗣 牧养 移徙 立券 解除 起基 除服	安床 置产
1978-06-16	1978-5-11	29	平	五	戊午 戊午 己酉	无	夏至 (6, 22)	无	无	无	修饰垣墙 平治道涂 扫舍 整手足甲 沐浴 理发 祭祀	上梁 修造 入宅 出行 嫁娶 安门
1978-06-17	1978-5-12	29	定	六	戊午 戊午 庚戌	无	夏至 (6, 22)	无	无	无	交易 修造 入宅 入殓 出火 出行 动土 启钻 嫁娶 安床 安葬 开光 拆卸 挂匾 栽种 求嗣 破土 祈福 祭祀 移徙 立券 纳畜 进人口	无
1978-06-18	1978-5-13	29	执	日	戊午 戊午 辛亥	无	夏至 (6, 22)	父亲节	无	无	伐木 修造 入宅 出火 出行 动土 安床 开光 拆卸 求嗣 祈福 祭祀 移徙 起基	交易 修坟 嫁娶 安葬 开市 行丧
1978-06-19	1978-5-14	29	破	一	戊午 戊午 壬子	无	夏至 (6, 22)	无	无	无	坏垣 破屋 馀事勿取	诸事不宜
1978-06-20	1978-5-15	29	危	二	戊午 戊午 癸丑	无	夏至 (6, 22)	无	无	无	交易 修造 动土 安床 开厕 开市 开池 放水 破土 祭祀 立券 纳财 经络 结网	作灶 嫁娶 安门 栽种 移徙 词讼 造桥
1978-06-21	1978-5-16	29	成	三	戊午 戊午 甲寅	无	夏至 (6, 22)	无	无	无	上梁 交易 修造 入殓 动土 安床 安葬 开市 成服 拆卸 栽种 破土 立券 纳财 除服	伐木 入宅 出火 嫁娶 探病 祭祀 移徙 纳畜
1978-06-22	1978-5-17	29	收	四	戊午 戊午 乙卯	夏至	小暑 (7, 7)	无	无	无	作灶 祭祀 馀事勿取	诸事不宜
1978-06-23	1978-5-18	29	开	五	戊午 戊午 丙辰	无	小暑 (7, 7)	无	无	无	坏垣 解除 馀事勿取	诸事不宜
1978-06-24	1978-5-19	29	闭	六	戊午 戊午 丁巳	无	小暑 (7, 7)	无	无	无	修造 动土 安床 安门 栽种 筑堤 补垣 起基 造畜稠	入宅 出火 出行 嫁娶 安葬 开光 掘井 理发 移徙 行丧 进人口
1978-06-25	1978-5-20	29	建	日	戊午 戊午 戊午	无	小暑 (7, 7)	无	无	无	教牛马 断蚁 祭祀 馀事勿取	入宅 动土 斋醮 移徙
1978-06-26	1978-5-21	29	除	一	戊午 戊午 己未	无	小暑 (7, 7)	无	无	无	修造 出行 动土 嫁娶 安床 安香 定磉 开市 开池 扫舍 拆卸 掘井 放水 栽种 祈福 祭祀 移徙 立券 竖柱 纳财 纳采 订盟 起基 造畜稠 造船	伐木 作灶 安葬 斋醮 破土 行丧
1978-06-27	1978-5-22	29	满	二	戊午 戊午 庚申	无	小暑 (7, 7)	无	无	无	上梁 作灶 修造 入宅 出火 出行 塞穴 嫁娶 安葬 安香 开光 开市 扫舍 拆卸 放水 栽种 盖屋 祈福 祭祀 移徙 竖柱 纳财 补垣 解除 起基 造仓 造船	动土 安床 破土 纳采 订盟 谢土
1978-06-28	1978-5-23	29	平	三	戊午 戊午 辛酉	无	小暑 (7, 7)	无	无	无	作灶 修饰垣墙 冠笄 嫁娶 平治道涂 整手足甲 沐浴 理发 祭祀	出行 栽种 破土
1978-06-29	1978-5-24	29	定	四	戊午 戊午 壬戌	无	小暑 (7, 7)	无	无	无	交易 修造 入宅 入殓 出火 出行 动土 启钻 嫁娶 安床 安葬 开光 成服 拆卸 挂匾 求嗣 祈福 祭祀 移徙 立券 纳财 纳采 订盟 进人口 除服	掘井 破土
1978-06-30	1978-5-25	29	执	五	戊午 戊午 癸亥	无	小暑 (7, 7)	无	无	无	取渔 捕捉 沐浴 畋猎 祭祀 结网 馀事勿取	启钻 嫁娶 安葬 开市 行丧
