2003-06-01	二零零三 癸未[羊]年	五月大	初二	周日	无	无	国际儿童节	癸未 丁巳 乙巳 辛巳	无	芒种 (6, 6)	羊	双子座	祭祀、宴会、上官、进人口、经络、纳财、牧养、纳畜、颁诏、举正直、安抚边境、雪冤、裁制、宣政事、临政、酝酿、立券交易、招贤、施恩、覃恩、庆赐、恤孤茕、选将、搬移	出行、剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、整容、整手足甲、取鱼、开仓、筑堤防、补垣、修饰垣墙
2003-06-02	二零零三 癸未[羊]年	五月大	初三	周一	无	无	无	癸未 丁巳 丙午 癸巳	无	芒种 (6, 6)	羊	双子座	祭祀、宴会、沐浴、剃头、扫舍宇、颁诏、雪冤、整手足甲、裁制、宣政事、覃恩、庆赐、整容、恤孤茕	冠带、修置产室、畋猎、启攒、苫盖、乘船渡水、修宫室、取鱼、开仓、筑堤防
2003-06-03	二零零三 癸未[羊]年	五月大	初四	周二	无	无	无	癸未 丁巳 丁未 乙巳	无	芒种 (6, 6)	羊	双子座	诸事不宜	祭祀、出行、结婚姻、安床、剃头、修造、上官、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、启攒、布政事、纳畜、取鱼、颁诏、纳采、补垣、举正直、安抚边境、整手足甲、鼓铸、宣政事、临政、乘船渡水、酝酿、招贤、解除、施恩、筑堤防、修饰垣墙、整容、选将、营建、远回、出师、搬移
2003-06-04	二零零三 癸未[羊]年	五月大	初五	周三	端午节	无	无	癸未 丁巳 戊申 丁巳	无	芒种 (6, 6)	羊	双子座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、平治道涂、栽种、牧养、破土、安葬、纳畜、纳采、整手足甲、缮城郭、裁制、临政、酝酿、立券交易、开仓、祈福、入宅、解除、求嗣、修饰垣墙、庆赐、整容、修宫室、搬移	上表章、冠带、立券、修置产室、开渠、穿井、安碓硙、破屋坏垣、布政事、颁诏、补垣、开张、安抚边境、修仓库、鼓铸、宣政事、乘船渡水、针刺、招贤、筑堤防、塞穴、上册、选将、营建、出师
2003-06-05	二零零三 癸未[羊]年	五月大	初六	周四	无	无	世界环境日	癸未 丁巳 己酉 己巳	无	芒种 (6, 6)	羊	双子座	祭祀、沐浴、剃头、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、布政事、纳畜、举正直、雪冤、缮城郭、裁制、临政、酝酿、祈福、施恩、求嗣、覃恩、整容、修宫室、恤孤茕、搬移	宴会、上表章、修置产室、上册、苫盖
2003-06-06	二零零三 癸未[羊]年	五月大	初七	周五	无	无	全国爱眼日	癸未 戊午 庚戌 辛巳	芒种	夏至 (6, 22)	羊	双子座	祭祀、宴会、上官、冠带、进人口、竖柱上梁、安碓硙、布政事、纳畜、纳采、雪冤、缮城郭、裁制、临政、酝酿、祈福、覃恩、庆赐、修宫室、恤孤茕	求医疗病、开市、修置产室、栽种、开仓、解除
2003-06-07	二零零三 癸未[羊]年	五月大	初八	周六	无	南方五道诞	无	癸未 戊午 辛亥 癸巳	无	夏至 (6, 22)	羊	双子座	祭祀、沐浴、捕捉、雪冤、覃恩、恤孤茕	嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、取鱼、补垣、整手足甲、鼓铸、筑堤防、塞穴、修饰垣墙、整容、修宫室
2003-06-08	二零零三 癸未[羊]年	五月大	初九	周日	无	无	世界海洋日	癸未 戊午 壬子 乙巳	无	夏至 (6, 22)	羊	双子座	诸事不宜	诸事不宜
2003-06-09	二零零三 癸未[羊]年	五月大	初十	周一	无	无	无	癸未 戊午 癸丑 丁巳	无	夏至 (6, 22)	羊	双子座	祭祀、赴任、雪冤、恤孤茕、入宅、覃恩	结婚姻、剃头、求医疗病、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、出师、纳畜、颁诏、补垣、举正直、修仓库、整手足甲、缮城郭、鼓铸、裁制、宣政事、临政、招贤、开仓、解除、施恩、筑堤防、塞穴、求嗣、修饰垣墙、上册、整容、修宫室、营建
2003-06-10	二零零三 癸未[羊]年	五月大	十一	周二	无	天下都城隍诞	无	癸未 戊午 甲寅 己巳	无	夏至 (6, 22)	羊	双子座	宴会、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、举正直、修仓库、缮城郭、裁制、临政、酝酿、立券交易、筑堤防、施恩、祈福、求嗣、庆赐、修宫室	祭祀、选将、开仓、远回、出师
