1990-08-14	一九九零 庚午[马]年 六月小廿四	周二	无	关帝诞	无	庚午 甲申 辛亥 癸巳	无	处暑 (8, 23)	马	狮子座	祭祀、沐浴、平治道涂、覃恩、雪冤、修饰垣墙、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、筑堤防、安抚边境、营建、宣政事、选将、施恩、修宫室、搬移、招贤、祈福、缮城郭、立券交易、出师
1990-08-15	一九九零 庚午[马]年 六月小廿五	周三	无	无	无	庚午 甲申 壬子 乙巳	无	处暑 (8, 23)	马	狮子座	祭祀、结婚姻、宴会、沐浴、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、求嗣、酝酿、颁诏、裁制、庆赐、覃恩、营建、宣政事、施恩、修宫室、雪冤、招贤、祈福、缮城郭	修置产室、开渠、穿井、畋猎、取鱼
1990-08-16	一九九零 庚午[马]年 六月小廿六	周四	无	无	无	庚午 甲申 癸丑 丁巳	无	处暑 (8, 23)	马	狮子座	祭祀、宴会、求医疗病、上表章、上官、竖柱上梁、纳财、捕捉、栽种、牧养、安葬、纳畜、举正直、临政、恤孤茕、求嗣、解除、上册、颁诏、裁制、庆赐、开仓、覃恩、营建、宣政事、施恩、修宫室、雪冤、招贤、祈福、缮城郭	冠带、畋猎、远回、取鱼
1990-08-17	一九九零 庚午[马]年 六月小廿七	周五	无	无	无	庚午 甲申 甲寅 己巳	无	处暑 (8, 23)	马	狮子座	诸事不宜	诸事不宜
1990-08-18	一九九零 庚午[马]年 六月小廿八	周六	无	无	无	庚午 甲申 乙卯 辛巳	无	处暑 (8, 23)	马	狮子座	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、上官、纳采、临政、求嗣、赴任、入宅、安抚边境、选将、搬移、祈福、立券交易	求医疗病、上表章、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、安葬、纳畜、鼓铸、举正直、布政事、修仓库、解除、上册、颁诏、裁制、开仓、庆赐、筑堤防、营建、补垣、宣政事、施恩、修宫室、修饰垣墙、招贤、塞穴、缮城郭、出师
1990-08-19	一九九零 庚午[马]年 六月小廿九	周日	无	无	无	庚午 甲申 丙辰 癸巳	无	处暑 (8, 23)	马	狮子座	祭祀、入学	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、针刺、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、远回、出师
1990-08-20	一九九零 庚午[马]年 七月大初一	周一	无	无	无	庚午 甲申 丁巳 乙巳	无	处暑 (8, 23)	马	狮子座	祭祀、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、捕捉、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、搬移、招贤、祈福、缮城郭、立券交易	出行、剃头、冠带、立券、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、鼓铸、整手足甲、开张、布政事、整容、筑堤防、补垣、修宫室、修饰垣墙、塞穴、取鱼
1990-08-21	一九九零 庚午[马]年 七月大初二	周二	无	无	无	庚午 甲申 戊午 丁巳	无	处暑 (8, 23)	马	狮子座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、修置产室、开渠、穿井、安碓硙、栽种、牧养、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、覃恩、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、出师	剃头、冠带、破屋坏垣、伐木、畋猎、破土、鼓铸、整手足甲、布政事、开仓、入宅、整容、筑堤防、补垣、修饰垣墙、塞穴、苫盖、取鱼
1990-08-22	一九九零 庚午[马]年 七月大初三	周三	无	无	邓小平诞辰纪念日	庚午 甲申 己未 己巳	无	处暑 (8, 23)	马	狮子座	诸事不宜	诸事不宜
1990-08-23	一九九零 庚午[马]年 七月大初四	周四	无	无	无	庚午 甲申 庚申 辛巳	处暑	白露 (9, 8)	马	处女座	出行、沐浴、上官、进人口、纳财、扫舍宇、纳畜、举正直、临政、恤孤茕、酝酿、颁诏、裁制、入宅、覃恩、宣政事、施恩、搬移、雪冤、招贤	安床、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、启攒、求嗣、上册、开仓、筑堤防、营建、补垣、修饰垣墙、祈福
1990-08-24	一九九零 庚午[马]年 七月大初五	周五	无	无	无	庚午 甲申 辛酉 癸巳	无	白露 (9, 8)	马	处女座	出行、沐浴、剃头、求医疗病、上官、扫舍宇、安葬、整手足甲、临政、恤孤茕、解除、整容、安抚边境、选将、雪冤、出师	结婚姻、宴会、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、开市、纳财、修置产室、捕捉、畋猎、栽种、牧养、纳畜、纳采、鼓铸、修仓库、求嗣、上册、酝酿、颁诏、乘船渡水、开仓、庆赐、筑堤防、补垣、营建、宣政事、修宫室、搬移、塞穴、招贤、祈福、缮城郭、立券交易、取鱼
1990-08-25	一九九零 庚午[马]年 七月大初六	周六	无	无	无	庚午 甲申 壬戌 乙巳	无	白露 (9, 8)	马	处女座	出行、宴会、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、纳畜、恤孤茕、求嗣、解除、上册、颁诏、裁制、开仓、庆赐、覃恩、补垣、营建、宣政事、修宫室、雪冤、搬移、塞穴、祈福、缮城郭、立券交易	祭祀、开渠、穿井、畋猎、整手足甲、取鱼、乘船渡水
1990-08-26	一九九零 庚午[马]年 七月大初七	周日	无	七夕-魁星诞	无	庚午 甲申 癸亥 丁巳	无	白露 (9, 8)	马	处女座	祭祀、出行、结婚姻、宴会、沐浴、修造、求医疗病、上表章、上官、竖柱上梁、纳财、平治道涂、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、开仓、覃恩、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、修饰垣墙、搬移、招贤、祈福、缮城郭、出师	嫁娶、冠带、修置产室、开渠、穿井、畋猎、破土、启攒、筑堤防、鼓铸、取鱼、布政事
1990-08-27	一九九零 庚午[马]年 七月大初八	周一	无	无	无	庚午 甲申 甲子 己巳	无	白露 (9, 8)	马	处女座	祭祀、结婚姻、宴会、沐浴、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、纳畜、纳采、举正直、临政、恤孤茕、布政事、求嗣、赴任、酝酿、裁制、庆赐、覃恩、修宫室、施恩、雪冤、祈福、缮城郭、诉讼	修置产室、出师、安抚边境、选将
1990-08-28	一九九零 庚午[马]年 七月大初九	周二	无	无	无	庚午 甲申 乙丑 辛巳	无	白露 (9, 8)	马	处女座	宴会、嫁娶、修造、纳财、捕捉、牧养、覃恩、赴任、纳采、纳畜、雪冤、布政事、庆赐、恤孤茕、入宅	冠带、畋猎、远回
1990-08-29	一九九零 庚午[马]年 七月大初十	周三	无	无	无	庚午 甲申 丙寅 癸巳	无	白露 (9, 8)	马	处女座	诸事不宜	诸事不宜
1990-08-30	一九九零 庚午[马]年 七月大十一	周四	无	无	无	庚午 甲申 丁卯 乙巳	无	白露 (9, 8)	马	处女座	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、竖柱上梁、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、搬移、招贤、祈福、缮城郭、立券交易、出师	剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、补垣、修宫室、取鱼、修饰垣墙、开仓、筑堤防、整容
1990-08-31	一九九零 庚午[马]年 七月大十二	周五	无	无	无	庚午 甲申 戊辰 丁巳	无	白露 (9, 8)	马	处女座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、安葬、纳畜、纳采、临政、恤孤茕、布政事、修仓库、求嗣、解除、上册、酝酿、裁制、庆赐、筑堤防、覃恩、安抚边境、营建、选将、修宫室、雪冤、搬移、祈福、缮城郭、立券交易、出师	剃头、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、针刺、鼓铸、整手足甲、开仓、整容、补垣、修饰垣墙、塞穴、远回、取鱼
