1928-06-14	一九二八 戊辰[龙]年 四月大廿七	周四	无	无	世界献血日	戊辰 戊午 乙酉 辛巳	无	夏至 (6, 21)	龙	双子座	沐浴、剃头、扫舍宇、平治道涂、整容、修饰垣墙、整手足甲	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、立券交易、祈福
1928-06-15	一九二八 戊辰[龙]年 四月大廿八	周五	无	无	无	戊辰 戊午 丙戌 癸巳	无	夏至 (6, 21)	龙	双子座	祭祀、宴会、经络、安碓硙、庆赐、裁制、颁诏、恤孤茕、招贤、覃恩、举正直、酝酿、求嗣、雪冤、施恩、宣政事、祈福	安床、开市、修置产室、畋猎、破土、启攒、开仓、筑堤防、取鱼
1928-06-16	一九二八 戊辰[龙]年 四月大廿九	周六	无	无	无	戊辰 戊午 丁亥 乙巳	无	夏至 (6, 21)	龙	双子座	祭祀、沐浴、捕捉、恤孤茕、覃恩、雪冤	嫁娶、安床、剃头、冠带、进人口、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、安葬、启攒、补垣、鼓铸、整容、布政事、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
1928-06-17	一九二八 戊辰[龙]年 四月大三十	周日	无	无	父亲节	戊辰 戊午 戊子 丁巳	无	夏至 (6, 21)	龙	双子座	祭祀、沐浴	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、入宅、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、取鱼、上册、塞穴、苫盖、整手足甲、修宫室、立券交易、祈福
1928-06-18	一九二八 戊辰[龙]年 五月小初一	周一	无	南极长生大帝诞	无	戊辰 戊午 己丑 己巳	无	夏至 (6, 21)	龙	双子座	祭祀、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
1928-06-19	一九二八 戊辰[龙]年 五月小初二	周二	无	无	无	戊辰 戊午 庚寅 辛巳	无	夏至 (6, 21)	龙	双子座	结婚姻、宴会、上官、入学、进人口、竖柱上梁、开市、纳财、安碓硙、栽种、牧养、庆赐、临政、裁制、纳采、立券交易、修仓库、筑堤防、举正直、酝酿、求嗣、缮城郭、施恩、修宫室、祈福	祭祀、出师、远回、选将
1928-06-20	一九二八 戊辰[龙]年 五月小初三	周三	无	无	无	戊辰 戊午 辛卯 癸巳	无	夏至 (6, 21)	龙	双子座	祭祀、恤孤茕、覃恩、雪冤	冠带、修置产室、开渠、穿井、畋猎、开仓、筑堤防、布政事、补垣、取鱼、鼓铸、塞穴、修宫室、针刺、乘船渡水
1928-06-21	一九二八 戊辰[龙]年 五月小初四	周四	无	无	无	戊辰 戊午 壬辰 乙巳	夏至	小暑 (7, 7)	龙	双子座	出行、结婚姻、宴会、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、安碓硙、栽种、牧养、庆赐、临政、搬移、裁制、纳采、赴任、颁诏、恤孤茕、解除、招贤、覃恩、举正直、求嗣、雪冤、缮城郭、施恩、宣政事、上册、修宫室、祈福、诉讼	开渠、伐木、畋猎、选将、取鱼、安抚边境、出师
1928-06-22	一九二八 戊辰[龙]年 五月小初五	周五	端午节	无	无	戊辰 戊午 癸巳 丁巳	无	小暑 (7, 7)	龙	巨蟹座	补垣、裁制、赴任、入宅、恤孤茕、筑堤防、选将、覃恩、雪冤、安抚边境、塞穴	出行、结婚姻、上表章、竖柱上梁、立券、修置产室、开渠、穿井、破土、安葬、启攒、开张、开仓、解除、乘船渡水、出师、布政事、针刺、求嗣、营建、上册、修宫室、疗目、祈福
1928-06-23	一九二八 戊辰[龙]年 五月小初六	周六	无	无	无	戊辰 戊午 甲午 己巳	无	小暑 (7, 7)	龙	巨蟹座	诸事不宜	诸事不宜
1928-06-24	一九二八 戊辰[龙]年 五月小初七	周日	无	无	无	戊辰 戊午 乙未 辛巳	无	小暑 (7, 7)	龙	巨蟹座	出行、宴会、沐浴、剃头、上官、进人口、经络、纳财、扫舍宇、破土、安葬、临政、解除、纳畜、出师、整容、选将、举正直、酝酿、施恩、安抚边境、整手足甲、立券交易	栽种
1928-06-25	一九二八 戊辰[龙]年 五月小初八	周一	无	南方五道诞	无	戊辰 戊午 丙申 癸巳	无	小暑 (7, 7)	龙	巨蟹座	出行、嫁娶、沐浴、剃头、上表章、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、栽种、牧养、安葬、补垣、搬移、裁制、颁诏、恤孤茕、解除、纳畜、整容、选将、覃恩、求嗣、雪冤、营建、缮城郭、安抚边境、宣政事、塞穴、上册、修宫室、整手足甲、祈福	祭祀、安床、畋猎、取鱼
1928-06-26	一九二八 戊辰[龙]年 五月小初九	周二	无	无	无	戊辰 戊午 丁酉 乙巳	无	小暑 (7, 7)	龙	巨蟹座	沐浴、扫舍宇、平治道涂、修饰垣墙、整手足甲	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、庆赐、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、祈福
1928-06-27	一九二八 戊辰[龙]年 五月小初十	周三	无	无	无	戊辰 戊午 戊戌 丁巳	无	小暑 (7, 7)	龙	巨蟹座	祭祀、结婚姻、宴会、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、庆赐、临政、裁制、纳采、入宅、纳畜、举正直、酝酿、求嗣、缮城郭、施恩、修宫室、祈福	修置产室
1928-06-28	一九二八 戊辰[龙]年 五月小十一	周四	无	天下都城隍诞	无	戊辰 戊午 己亥 己巳	无	小暑 (7, 7)	龙	巨蟹座	祭祀、沐浴、捕捉、恤孤茕、覃恩、雪冤	嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、补垣、鼓铸、布政事、整容、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲
1928-06-29	一九二八 戊辰[龙]年 五月小十二	周五	无	炳灵公诞	无	戊辰 戊午 庚子 辛巳	无	小暑 (7, 7)	龙	巨蟹座	诸事不宜	诸事不宜
1928-06-30	一九二八 戊辰[龙]年 五月小十三	周六	无	关圣降	无	戊辰 戊午 辛丑 癸巳	无	小暑 (7, 7)	龙	巨蟹座	祭祀、恤孤茕、覃恩、雪冤	剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、补垣、开仓、鼓铸、布政事、整容、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
