1984-05-13	一九八四 甲子[鼠]年	四月大	十三	周日	甲子 己巳 丁未 乙巳	鼠	金牛座	无	小满 (5, 21)	无	无	母亲节	诸事不宜	祭祀、出行、结婚姻、安床、剃头、修造、上官、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、启攒、乘船渡水、远回、招贤、布政事、举正直、选将、纳畜、取鱼、颁诏、修饰垣墙、出师、安抚边境、酝酿、整容、鼓铸、补垣、解除、纳采、施恩、整手足甲、临政、搬移、营建、筑堤防、宣政事
1984-05-14	一九八四 甲子[鼠]年	四月大	十四	周一	甲子 己巳 戊申 丁巳	鼠	金牛座	无	小满 (5, 21)	无	纯阳祖师诞	无	祭祀、沐浴、扫舍宇、平治道涂	上表章、开渠、穿井、启攒、针刺、乘船渡水、招贤、布政事、选将、塞穴、上册、颁诏、出师、安抚边境、补垣、筑堤防、营建、宣政事
1984-05-15	一九八四 甲子[鼠]年	四月大	十五	周二	甲子 己巳 己酉 己巳	鼠	金牛座	无	小满 (5, 21)	无	钟离祖师诞	无	祭祀、沐浴、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、雪冤、赴任、裁制、缮城郭、覃恩、布政事、修宫室、举正直、纳畜、入宅、祈福、酝酿、施恩、临政、搬移、求嗣、恤孤茕	宴会、上表章、修置产室、苫盖、上册
1984-05-16	一九八四 甲子[鼠]年	四月大	十六	周三	甲子 己巳 庚戌 辛巳	鼠	金牛座	无	小满 (5, 21)	无	无	无	祭祀、结婚姻、宴会、嫁娶、沐浴、剃头、修造、上表章、上官、竖柱上梁、捕捉、栽种、牧养、安葬、雪冤、裁制、覃恩、缮城郭、招贤、举正直、选将、纳畜、上册、颁诏、出师、祈福、庆赐、整容、解除、施恩、纳采、整手足甲、临政、搬移、营建、恤孤茕、宣政事、求嗣、安抚边境	经络、畋猎、取鱼、开仓
1984-05-17	一九八四 甲子[鼠]年	四月大	十七	周四	甲子 己巳 辛亥 癸巳	鼠	金牛座	无	小满 (5, 21)	无	十殿转轮王诞	无	沐浴、破屋坏垣、雪冤、覃恩、解除、恤孤茕	嫁娶、安床、剃头、冠带、经络、开市、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、启攒、立券交易、塞穴、取鱼、修饰垣墙、酝酿、整容、开仓、补垣、鼓铸、修宫室、整手足甲、筑堤防
1984-05-18	一九八四 甲子[鼠]年	四月大	十八	周五	甲子 己巳 壬子 乙巳	鼠	金牛座	无	小满 (5, 21)	无	紫徽大帝诞	无	沐浴、雪冤、覃恩、恤孤茕	结婚姻、嫁娶、修造、求医疗病、上表章、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、安葬、立券交易、裁制、缮城郭、招贤、举正直、塞穴、纳畜、上册、颁诏、修饰垣墙、祈福、酝酿、开仓、鼓铸、补垣、解除、修宫室、施恩、纳采、修仓库、筑堤防、营建、求嗣、宣政事
1984-05-19	一九八四 甲子[鼠]年	四月大	十九	周六	甲子 己巳 癸丑 丁巳	鼠	金牛座	无	小满 (5, 21)	无	无	无	出行、宴会、修造、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、立券交易、雪冤、裁制、缮城郭、覃恩、布政事、举正直、纳畜、上册、酝酿、庆赐、修宫室、施恩、修仓库、临政、筑堤防、恤孤茕	冠带、选将、出师、乘船渡水、整手足甲、远回、取鱼
1984-05-20	一九八四 甲子[鼠]年	四月大	二十	周日	甲子 己巳 甲寅 己巳	鼠	金牛座	无	小满 (5, 21)	无	眼光圣母诞	无	结婚姻、宴会、嫁娶、修造、上表章、进人口、纳财、捕捉、栽种、牧养、安葬、立券交易、赴任、诉讼、纳畜、入宅、纳采、搬移	祭祀、出行、安床、剃头、求医疗病、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、裁制、缮城郭、招贤、布政事、举正直、选将、塞穴、上册、颁诏、修饰垣墙、出师、祈福、酝酿、庆赐、开仓、鼓铸、整容、补垣、解除、修宫室、施恩、整手足甲、修仓库、临政、筑堤防、营建、宣政事、求嗣、安抚边境
1984-05-21	一九八四 甲子[鼠]年	四月大	廿一	周一	甲子 己巳 乙卯 辛巳	鼠	双子座	小满	芒种 (6, 5)	无	无	无	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、安碓硙、栽种、牧养、立券交易、雪冤、裁制、覃恩、缮城郭、招贤、举正直、选将、纳畜、上册、颁诏、出师、祈福、庆赐、解除、修宫室、施恩、纳采、修仓库、临政、搬移、营建、恤孤茕、宣政事、求嗣、安抚边境	剃头、冠带、穿井、破屋坏垣、伐木、畋猎、补垣、修饰垣墙、入宅、塞穴、整容、整手足甲、取鱼、筑堤防、开仓、布政事、鼓铸
1984-05-22	一九八四 甲子[鼠]年	四月大	廿二	周二	甲子 己巳 丙辰 癸巳	鼠	双子座	无	芒种 (6, 5)	无	无	无	祭祀、雪冤、覃恩、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、立券交易、疗目、针刺、裁制、缮城郭、招贤、布政事、举正直、选将、塞穴、纳畜、取鱼、上册、颁诏、修饰垣墙、出师、祈福、安抚边境、酝酿、庆赐、开仓、整容、鼓铸、补垣、解除、施恩、纳采、整手足甲、修仓库、临政、搬移、营建、筑堤防、宣政事、求嗣、修宫室
1984-05-23	一九八四 甲子[鼠]年	四月大	廿三	周三	甲子 己巳 丁巳 乙巳	鼠	双子座	无	芒种 (6, 5)	无	无	世界读书日	宴会、上官、进人口、经络、纳财、立券交易、雪冤、裁制、覃恩、招贤、举正直、纳畜、颁诏、酝酿、庆赐、施恩、临政、恤孤茕、宣政事	出行、剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、栽种、破土、安葬、启攒、乘船渡水、上册、修饰垣墙、祈福、整容、开仓、补垣、解除、整手足甲、筑堤防、营建、求嗣
1984-05-24	一九八四 甲子[鼠]年	四月大	廿四	周四	甲子 己巳 戊午 丁巳	鼠	双子座	无	芒种 (6, 5)	无	无	无	祭祀、宴会、沐浴、剃头、扫舍宇、裁制、庆赐、整容、整手足甲	嫁娶、上表章、冠带、修置产室、纳畜、乘船渡水、苫盖、修仓库、取鱼、营建、招贤、筑堤防、上册
1984-05-25	一九八四 甲子[鼠]年	四月大	廿五	周五	甲子 己巳 己未 己巳	鼠	双子座	无	芒种 (6, 5)	无	无	无	入宅、赴任	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、破土、启攒、乘船渡水、远回、招贤、布政事、选将、纳畜、取鱼、颁诏、修饰垣墙、出师、安抚边境、整容、鼓铸、补垣、整手足甲、筑堤防、营建、宣政事
1984-05-26	一九八四 甲子[鼠]年	四月大	廿六	周六	甲子 己巳 庚申 辛巳	鼠	双子座	无	芒种 (6, 5)	无	无	无	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、平治道涂、栽种、牧养、安葬、立券交易、雪冤、裁制、覃恩、缮城郭、招贤、举正直、选将、纳畜、上册、颁诏、修饰垣墙、出师、祈福、酝酿、庆赐、开仓、整容、解除、施恩、纳采、整手足甲、修仓库、临政、搬移、营建、恤孤茕、宣政事、求嗣、安抚边境	安床、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、补垣、针刺、塞穴、取鱼、筑堤防、布政事、修宫室、鼓铸
1984-05-27	一九八四 甲子[鼠]年	四月大	廿七	周日	甲子 己巳 辛酉 癸巳	鼠	双子座	无	芒种 (6, 5)	无	无	上海解放日	祭祀、沐浴、剃头、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、雪冤、裁制、覃恩、缮城郭、招贤、举正直、纳畜、颁诏、祈福、整容、施恩、整手足甲、临政、搬移、营建、恤孤茕、宣政事、求嗣、修宫室	宴会、修置产室、畋猎、苫盖、取鱼、开仓
1984-05-28	一九八四 甲子[鼠]年	四月大	廿八	周一	甲子 己巳 壬戌 乙巳	鼠	双子座	无	芒种 (6, 5)	无	无	无	沐浴、剃头、求医疗病、上表章、捕捉、解除、整容、整手足甲	出行、嫁娶、开渠、穿井、安葬、修仓库、开仓
1984-05-29	一九八四 甲子[鼠]年	四月大	廿九	周二	甲子 己巳 癸亥 丁巳	鼠	双子座	无	芒种 (6, 5)	无	无	无	沐浴、破屋坏垣	祭祀、结婚姻、宴会、嫁娶、安床、剃头、修造、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、立券交易、裁制、缮城郭、招贤、布政事、举正直、塞穴、取鱼、上册、颁诏、修饰垣墙、祈福、酝酿、庆赐、整容、鼓铸、开仓、补垣、解除、修宫室、施恩、纳采、整手足甲、修仓库、临政、筑堤防、营建、求嗣、宣政事
1984-05-30	一九八四 甲子[鼠]年	四月大	三十	周三	甲子 己巳 甲子 己巳	鼠	双子座	无	芒种 (6, 5)	无	无	无	宴会、沐浴、雪冤、覃恩、布政事、入宅、庆赐、恤孤茕	结婚姻、求医疗病、冠带、进人口、竖柱上梁、开市、纳财、修置产室、栽种、牧养、安葬、立券交易、缮城郭、招贤、举正直、纳畜、上册、祈福、开仓、解除、修宫室、施恩、修仓库、营建、筑堤防、求嗣
1984-05-31	一九八四 甲子[鼠]年	五月小	初一	周四	甲子 己巳 乙丑 辛巳	鼠	双子座	无	芒种 (6, 5)	无	南极长生大帝诞	世界无烟日	祭祀、出行、结婚姻、宴会、修造、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、牧养、安葬、立券交易、雪冤、裁制、覃恩、缮城郭、招贤、举正直、纳畜、上册、颁诏、祈福、酝酿、庆赐、解除、施恩、纳采、修仓库、临政、筑堤防、恤孤茕、宣政事、营建、求嗣、修宫室	冠带、畋猎、乘船渡水、整手足甲、远回、取鱼
