1964-08-12	一九六四 甲辰[龙]年 七月小初五	周三	无	无	国际青年日	甲辰 壬申 癸巳 丁巳	无	处暑 (8, 23)	龙	狮子座	祭祀、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、捕捉、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、覃恩、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、立券交易	出行、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、鼓铸、整手足甲、布政事、乘船渡水、整容、筑堤防、补垣、修饰垣墙、塞穴、取鱼
1964-08-13	一九六四 甲辰[龙]年 七月小初六	周四	无	无	无	甲辰 壬申 甲午 己巳	无	处暑 (8, 23)	龙	狮子座	祭祀、出行、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、开市、修置产室、开渠、穿井、安碓硙、栽种、牧养、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、赴任、上册、颁诏、裁制、庆赐、入宅、覃恩、安抚边境、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、诉讼、出师	结婚姻、安床、剃头、冠带、进人口、竖柱上梁、经络、破屋坏垣、伐木、畋猎、鼓铸、整手足甲、布政事、酝酿、开仓、整容、筑堤防、营建、补垣、修饰垣墙、塞穴、苫盖、取鱼
1964-08-14	一九六四 甲辰[龙]年 七月小初七	周五	无	七夕-魁星诞	无	甲辰 壬申 乙未 辛巳	无	处暑 (8, 23)	龙	狮子座	诸事不宜	诸事不宜
1964-08-15	一九六四 甲辰[龙]年 七月小初八	周六	无	无	无	甲辰 壬申 丙申 癸巳	无	处暑 (8, 23)	龙	狮子座	出行、嫁娶、沐浴、上官、进人口、经络、纳财、扫舍宇、纳畜、举正直、临政、恤孤茕、酝酿、颁诏、裁制、覃恩、安抚边境、宣政事、选将、施恩、雪冤、招贤	安床、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、启攒、求嗣、上册、开仓、筑堤防、营建、补垣、修饰垣墙、祈福
1964-08-16	一九六四 甲辰[龙]年 七月小初九	周日	无	无	无	甲辰 壬申 丁酉 乙巳	无	处暑 (8, 23)	龙	狮子座	祭祀、出行、结婚姻、嫁娶、沐浴、修造、求医疗病、上表章、上官、竖柱上梁、扫舍宇、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、布政事、修仓库、求嗣、解除、上册、颁诏、裁制、覃恩、安抚边境、营建、选将、施恩、雪冤、搬移、招贤、祈福、缮城郭、出师	宴会、剃头、冠带、修置产室、捕捉、畋猎、补垣、筑堤防、鼓铸、取鱼、修宫室、乘船渡水、塞穴、开仓
1964-08-17	一九六四 甲辰[龙]年 七月小初十	周一	无	无	无	甲辰 壬申 戊戌 丁巳	无	处暑 (8, 23)	龙	狮子座	宴会、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、纳畜、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、开仓、庆赐、覃恩、补垣、营建、宣政事、修宫室、雪冤、塞穴、祈福、缮城郭、立券交易	祭祀、畋猎、乘船渡水、取鱼
1964-08-18	一九六四 甲辰[龙]年 七月小十一	周二	无	无	无	甲辰 壬申 己亥 己巳	无	处暑 (8, 23)	龙	狮子座	祭祀、出行、沐浴、修造、上官、平治道涂、赴任、纳采、搬移、修饰垣墙、临政、祈福、入宅	结婚姻、宴会、嫁娶、求医疗病、上表章、冠带、竖柱上梁、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、纳畜、鼓铸、举正直、布政事、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、开仓、筑堤防、安抚边境、营建、宣政事、选将、施恩、修宫室、招贤、缮城郭、出师
1964-08-19	一九六四 甲辰[龙]年 七月小十二	周三	无	无	无	甲辰 壬申 庚子 辛巳	无	处暑 (8, 23)	龙	狮子座	祭祀、出行、宴会、沐浴、修造、上官、冠带、进人口、竖柱上梁、安碓硙、牧养、纳畜、举正直、临政、求嗣、酝酿、裁制、庆赐、修宫室、施恩、搬移、祈福、缮城郭	剃头、修置产室、安葬、安抚边境、选将、出师、整容
1964-08-20	一九六四 甲辰[龙]年 七月小十三	周四	无	长真谭真人诞-大势至菩萨诞	无	甲辰 壬申 辛丑 癸巳	无	处暑 (8, 23)	龙	狮子座	纳财、捕捉	出行、结婚姻、嫁娶、安床、修造、求医疗病、上官、冠带、进人口、竖柱上梁、开市、修置产室、畋猎、破土、安葬、启攒、纳采、临政、解除、酝酿、筑堤防、安抚边境、营建、选将、修宫室、搬移、缮城郭、立券交易、远回、出师
1964-08-21	一九六四 甲辰[龙]年 七月小十四	周五	无	无	无	甲辰 壬申 壬寅 乙巳	无	处暑 (8, 23)	龙	狮子座	沐浴、恤孤茕、覃恩、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、取鱼、出师
1964-08-22	一九六四 甲辰[龙]年 七月小十五	周六	无	中元节	邓小平诞辰纪念日	甲辰 壬申 癸卯 丁巳	无	处暑 (8, 23)	龙	狮子座	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、竖柱上梁、纳财、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、开仓、覃恩、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、立券交易、出师	剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、补垣、筑堤防、整手足甲、取鱼、修饰垣墙、整容
1964-08-23	一九六四 甲辰[龙]年 七月小十六	周日	无	无	无	甲辰 壬申 甲辰 己巳	处暑	白露 (9, 7)	龙	处女座	祭祀、出行、结婚姻、宴会、嫁娶、修造、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、安葬、纳畜、纳采、临政、修仓库、求嗣、赴任、酝酿、裁制、庆赐、入宅、筑堤防、安抚边境、修宫室、搬移、祈福、缮城郭、立券交易、诉讼	安床、剃头、求医疗病、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、破土、启攒、针刺、鼓铸、整手足甲、布政事、解除、上册、颁诏、开仓、整容、营建、补垣、宣政事、选将、修饰垣墙、塞穴、招贤、远回、出师
1964-08-24	一九六四 甲辰[龙]年 七月小十七	周一	无	无	无	甲辰 壬申 乙巳 辛巳	无	白露 (9, 7)	龙	处女座	结婚姻、宴会、嫁娶、进人口、经络、开市、纳财、捕捉、栽种、牧养、安葬、纳畜、立券交易、酝酿、开仓	祭祀、出行、安床、剃头、修造、求医疗病、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、启攒、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、出师
1964-08-25	一九六四 甲辰[龙]年 七月小十八	周二	无	西王母诞	无	甲辰 壬申 丙午 癸巳	无	白露 (9, 7)	龙	处女座	入学、恤孤茕、覃恩、雪冤	结婚姻、嫁娶、冠带、进人口、竖柱上梁、经络、伐木、畋猎、启攒、纳采、布政事、酝酿、开仓、入宅、筑堤防、营建、补垣、塞穴、取鱼
1964-08-26	一九六四 甲辰[龙]年 七月小十九	周三	无	太岁诞	无	甲辰 壬申 丁未 乙巳	无	白露 (9, 7)	龙	处女座	祭祀、破土、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、安葬、纳畜、纳采、针刺、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、庆赐、开仓、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师、取鱼、疗目
1964-08-27	一九六四 甲辰[龙]年 七月小二十	周四	无	无	无	甲辰 壬申 戊申 丁巳	无	白露 (9, 7)	龙	处女座	祭祀、出行、嫁娶、沐浴、上官、进人口、经络、纳财、扫舍宇、牧养、纳畜、举正直、临政、恤孤茕、酝酿、颁诏、裁制、覃恩、安抚边境、宣政事、选将、施恩、雪冤、搬移、招贤、出师	诸事不忌
1964-08-28	一九六四 甲辰[龙]年 七月小廿一	周五	无	无	无	甲辰 壬申 己酉 己巳	无	白露 (9, 7)	龙	处女座	出行、嫁娶、沐浴、剃头、修造、求医疗病、上官、扫舍宇、安葬、纳采、整手足甲、临政、恤孤茕、布政事、解除、赴任、入宅、整容、覃恩、安抚边境、选将、雪冤、搬移、出师	结婚姻、宴会、上表章、冠带、竖柱上梁、修置产室、捕捉、畋猎、栽种、牧养、纳畜、鼓铸、修仓库、求嗣、上册、颁诏、乘船渡水、开仓、筑堤防、补垣、营建、宣政事、修宫室、塞穴、招贤、祈福、缮城郭、取鱼
1964-08-29	一九六四 甲辰[龙]年 七月小廿二	周六	无	增福财神诞	无	甲辰 壬申 庚戌 辛巳	无	白露 (9, 7)	龙	处女座	宴会、上表章、进人口、竖柱上梁、开市、纳财、栽种、牧养、纳畜、恤孤茕、布政事、修仓库、上册、裁制、开仓、庆赐、覃恩、补垣、修宫室、雪冤、塞穴、缮城郭、立券交易	祭祀、出行、结婚姻、修造、上官、破土、启攒、纳采、举正直、取鱼、施恩、搬移、乘船渡水、招贤
1964-08-30	一九六四 甲辰[龙]年 七月小廿三	周日	无	无	无	甲辰 壬申 辛亥 癸巳	无	白露 (9, 7)	龙	处女座	祭祀、沐浴、平治道涂、覃恩、雪冤、修饰垣墙、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、庆赐、开仓、筑堤防、安抚边境、营建、宣政事、选将、施恩、修宫室、搬移、招贤、祈福、缮城郭、立券交易、出师
1964-08-31	一九六四 甲辰[龙]年 七月小廿四	周一	无	无	无	甲辰 壬申 壬子 乙巳	无	白露 (9, 7)	龙	处女座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、求嗣、酝酿、颁诏、裁制、庆赐、覃恩、营建、宣政事、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭	修置产室、开渠、穿井、畋猎、取鱼
